Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ТиТм-1801-01-00_1.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности Зачет,Не указан,Злобина Е.А.,6-202
сессия_ТиТм-1801-01-00_1.pdf,09.06.26,вторник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности Зачет,Не указан,Злобина Е.А.,6-202
сессия_ТиТм-1801-01-00_1.pdf,09.06.26,вторник,17:20-18:50,Общая группа,Теплообменное и вспомогательное оборудование тепловых электрических станций Зачет,Не указан,Крупин Д.Ф.,8-310
сессия_ТиТм-1801-01-00_1.pdf,10.06.26,среда,17:20-18:50,Общая группа,Переменные режимы работы оборудования тепловых электростанций Защита курсовых работ,Не указан,Суворов Д.М.,6-210
сессия_ТиТм-1801-01-00_1.pdf,15.06.26,понедельник,17:20-18:50,Общая группа,Переменные режимы работы оборудования тепловых электростанций Консультация,Не указан,Суворов Д.М.,6-310
сессия_ТиТм-1801-01-00_1.pdf,16.06.26,вторник,17:20-18:50,Общая группа,Переменные режимы работы оборудования тепловых электростанций Экзамен,Не указан,Суворов Д.М.,6-309
сессия_ТиТм-1801-01-00_1.pdf,18.06.26,четверг,17:20-18:50,Общая группа,Экономика и управление производством Консультация,Не указан,Набоких А.А.,14-104
сессия_ТиТм-1801-01-00_1.pdf,19.06.26,пятница,17:20-18:50,Общая группа,Экономика и управление производством Экзамен,Не указан,Набоких А.А.,14-104
сессия_ТиТм-1801-01-00_1.pdf,22.06.26,понедельник,17:20-18:50,Общая группа,Современные системы технической диагностики в энергетике Консультация,Не указан,Суворов Д.М.,6-210
сессия_ТиТм-1801-01-00_1.pdf,23.06.26,вторник,17:20-18:50,Общая группа,Современные системы технической диагностики в энергетике Экзамен,Не указан,Суворов Д.М.,6-206
