Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ПОб-4701-01-00.pdf,12.01.26,понедельник,14:00-15:30,Общая группа,Управление внеурочной деятельностью в системе общего образования Консультация,Не указан,Широбокова Д.В.,15-310
сессия_ПОб-4701-01-00.pdf,13.01.26,вторник,14:00-15:30,Общая группа,Управление внеурочной деятельностью в системе общего образования Экзамен,Не указан,Широбокова Д.В.,15-426
сессия_ПОб-4701-01-00.pdf,13.01.26,вторник,15:45-17:15,Общая группа,Управление внеурочной деятельностью в системе общего образования Экзамен,Не указан,Широбокова Д.В.,15-426
сессия_ПОб-4701-01-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Управление системой образовательных событий Консультация,Не указан,Ульянова Ю.А.,15-434
сессия_ПОб-4701-01-00.pdf,17.01.26,суббота,10:00-11:30,Общая группа,Управление системой образовательных событий Экзамен,Не указан,Ульянова Ю.А.,15-434
сессия_ПОб-4701-01-00.pdf,17.01.26,суббота,11:45-13:15,Общая группа,Управление системой образовательных событий Экзамен,Не указан,Ульянова Ю.А.,15-434
сессия_ПОб-4701-01-00.pdf,20.01.26,вторник,10:00-11:30,Общая группа,Основы проектирования и методика его преподавания Защита курсовых работ,Не указан,Ульянова Ю.А.,15-430
сессия_ПОб-4701-01-00.pdf,20.01.26,вторник,11:45-13:15,Общая группа,Основы проектирования и методика его преподавания Консультация,Не указан,Зимирева Е.Н.,15-430
сессия_ПОб-4701-01-00.pdf,21.01.26,среда,10:00-11:30,Общая группа,Основы проектирования и методика его преподавания Экзамен,Не указан,Зимирева Е.Н.,15-426
сессия_ПОб-4701-01-00.pdf,21.01.26,среда,11:45-13:15,Общая группа,Основы проектирования и методика его преподавания Экзамен,Не указан,Зимирева Е.Н.,15-426
сессия_ПОб-4701-01-00.pdf,23.01.26,пятница,14:00-15:30,Общая группа,Ресурсное обеспечение управления образовательными программами Консультация,Не указан,Попова С.А.,15-251
сессия_ПОб-4701-01-00.pdf,26.01.26,понедельник,14:00-15:30,Общая группа,Ресурсное обеспечение управления образовательными программами Экзамен,Не указан,Попова С.А.,15-125
сессия_ПОб-4701-01-00.pdf,26.01.26,понедельник,15:45-17:15,Общая группа,Ресурсное обеспечение управления образовательными программами Экзамен,Не указан,Попова С.А.,15-125
