Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25081_2_11052026_24052026.pdf,12.05.26,вторник,15:45-17:15,Общая группа,Статистика,Лекция,Воронцова Н.Д.,14-338
25081_2_11052026_24052026.pdf,12.05.26,вторник,17:20-18:50,Общая группа,Организация производства,Лекция,Алцыбеева И.Г.,14-122
25081_2_11052026_24052026.pdf,12.05.26,вторник,18:55-20:25,Общая группа,Организация производства,Практическое занятие,Алцыбеева И.Г.,14-122
25081_2_11052026_24052026.pdf,13.05.26,среда,14:00-15:30,Общая группа,Маркетинговые коммуникации,Лекция,Лесных Н.Ю.,16-121
25081_2_11052026_24052026.pdf,13.05.26,среда,15:45-17:15,Общая группа,Маркетинговые коммуникации,Практическое занятие,Лесных Н.Ю.,16-201
25081_2_11052026_24052026.pdf,13.05.26,среда,17:20-18:50,Общая группа,Маркетинговые коммуникации,Практическое занятие,Лесных Н.Ю.,16-201
25081_2_11052026_24052026.pdf,14.05.26,четверг,10:00-11:30,Общая группа,Стратегический менеджмент,Лекция,Палкина М.В.,14-114
25081_2_11052026_24052026.pdf,14.05.26,четверг,11:45-13:15,Общая группа,Стратегический менеджмент,Практическое занятие,Палкина М.В.,14-130
25081_2_11052026_24052026.pdf,14.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлюпина Е.Г.,14-147
25081_2_11052026_24052026.pdf,14.05.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
25081_2_11052026_24052026.pdf,14.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
25081_2_11052026_24052026.pdf,14.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
25081_2_11052026_24052026.pdf,18.05.26,понедельник,11:45-13:15,Общая группа,Маркетинговые коммуникации,Лекция,Лесных Н.Ю.,16-209
25081_2_11052026_24052026.pdf,18.05.26,понедельник,14:00-15:30,Общая группа,Маркетинговые коммуникации,Практическое занятие,Лесных Н.Ю.,16-209
25081_2_11052026_24052026.pdf,19.05.26,вторник,08:20-09:50,Общая группа,Организация производства,Лекция,Алцыбеева И.Г.,14-122
25081_2_11052026_24052026.pdf,19.05.26,вторник,10:00-11:30,Общая группа,Организация производства,Практическое занятие,Алцыбеева И.Г.,14-122
25081_2_11052026_24052026.pdf,19.05.26,вторник,11:45-13:15,Общая группа,Стратегический менеджмент,Лекция,Палкина М.В.,14-122
25081_2_11052026_24052026.pdf,20.05.26,среда,08:20-09:50,Общая группа,Инновационный менеджмент,Практическое занятие,Горева Е.А.,14-122
25081_2_11052026_24052026.pdf,20.05.26,среда,10:00-11:30,Общая группа,Инновационный менеджмент,Практическое занятие,Горева Е.А.,14-122
25081_2_11052026_24052026.pdf,20.05.26,среда,11:45-13:15,Общая группа,Стратегический менеджмент,Практическое занятие,Палкина М.В.,14-335
25081_2_11052026_24052026.pdf,21.05.26,четверг,11:45-13:15,Общая группа,Статистика,Лабораторная работа,Орлов К.А.,16-315
25081_2_11052026_24052026.pdf,21.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлюпина Е.Г.,14-147
25081_2_11052026_24052026.pdf,21.05.26,четверг,15:45-17:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
25081_2_11052026_24052026.pdf,21.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
25081_2_11052026_24052026.pdf,21.05.26,четверг,15:45-17:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
