Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ТАДс-4902-01-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Бухгалтерский учет Зачет,Не указан,Крючкова Л.В.,13-510
сессия_ТАДс-4902-01-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Бухгалтерский учет Зачет,Не указан,Крючкова Л.В.,13-510
сессия_ТАДс-4902-01-00.pdf,09.01.26,пятница,08:20-09:50,Общая группа,Таможенное оформление товаров и транспортных средств Зачет,Не указан,Бабайлов В.А.,13-408
сессия_ТАДс-4902-01-00.pdf,09.01.26,пятница,08:20-09:50,Общая группа,Таможенные платежи в Таможенном союзе Зачет,Не указан,Обухова А.Н.,13-103а
сессия_ТАДс-4902-01-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Таможенное оформление товаров и транспортных средств Зачет,Не указан,Бабайлов В.А.,13-408
сессия_ТАДс-4902-01-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Таможенные платежи в Таможенном союзе Зачет,Не указан,Обухова А.Н.,13-103а
сессия_ТАДс-4902-01-00.pdf,13.01.21,среда,11:45-13:15,Общая группа,Декларирование товаров и транспортных средств Зачет,Не указан,Обухова А.Н.,13-103а
сессия_ТАДс-4902-01-00.pdf,14.01.26,среда,11:45-13:15,Общая группа,Правовое регулирование государственной службы в таможенных органах Консультация,Не указан,Гордиенко П.Н.,13-508
сессия_ТАДс-4902-01-00.pdf,15.01.26,четверг,10:00-11:30,Общая группа,Правовое регулирование государственной службы в таможенных органах Экзамен,Не указан,Гордиенко П.Н.,13-513
сессия_ТАДс-4902-01-00.pdf,15.01.26,четверг,11:45-13:15,Общая группа,Правовое регулирование государственной службы в таможенных органах Экзамен,Не указан,Гордиенко П.Н.,13-513
сессия_ТАДс-4902-01-00.pdf,17.01.26,суббота,08:20-09:50,Общая группа,Прокурорский надзор Консультация,Не указан,Дяченко Т.И.,13-402
сессия_ТАДс-4902-01-00.pdf,17.01.26,суббота,10:00-11:30,Общая группа,Прокурорский надзор Экзамен,Не указан,Дяченко Т.И.,13-507
сессия_ТАДс-4902-01-00.pdf,17.01.26,суббота,11:45-13:15,Общая группа,Прокурорский надзор Экзамен,Не указан,Дяченко Т.И.,13-507
сессия_ТАДс-4902-01-00.pdf,23.01.26,пятница,08:20-09:50,Общая группа,Безопасность жизнедеятельности Консультация,Не указан,Зонов А.В.,1-533
сессия_ТАДс-4902-01-00.pdf,24.01.26,суббота,08:20-09:50,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Зонов А.В.,1-529
сессия_ТАДс-4902-01-00.pdf,24.01.26,суббота,10:00-11:30,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Зонов А.В.,1-529
сессия_ТАДс-4902-01-00.pdf,26.01.26,понедельник,17:20-18:50,Общая группа,Основы квалификации преступлений в сфере таможенного дела Консультация,Не указан,Бабайлов В.А.,13-408
сессия_ТАДс-4902-01-00.pdf,27.01.26,вторник,17:20-18:50,Общая группа,Основы квалификации преступлений в сфере таможенного дела Экзамен,Не указан,Бабайлов В.А.,13-408
сессия_ТАДс-4902-01-00.pdf,27.01.26,вторник,18:55-20:25,Общая группа,Основы квалификации преступлений в сфере таможенного дела Экзамен,Не указан,Бабайлов В.А.,13-408
сессия_ТАДс-4902-01-00.pdf,30.01.26,пятница,18:55-20:25,Общая группа,"Выявление и основы расследования административных правонарушений, отнесенных к компетенции таможенных органов Консультация 13",Не указан,Бабайлов В.А.,13-408
сессия_ТАДс-4902-01-00.pdf,31.01.26,суббота,11:45-13:15,Общая группа,"Выявление и основы расследования административных правонарушений, отнесенных к компетенции таможенных органов Экзамен",Не указан,Бабайлов В.А.,13-408
сессия_ТАДс-4902-01-00.pdf,31.01.26,суббота,14:00-15:30,Общая группа,"Выявление и основы расследования административных правонарушений, отнесенных к компетенции таможенных органов Экзамен",Не указан,Бабайлов В.А.,13-408
