Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24972_2_13042026_26042026.pdf,13.04.26,понедельник,10:00-11:30,Общая группа,Электрооборудование цехов,Лекция,Торопова А.К.,Не указан
24972_2_13042026_26042026.pdf,13.04.26,понедельник,11:45-13:15,Общая группа,Электрооборудование цехов,Лекция,Торопова А.К.,Не указан
24972_2_13042026_26042026.pdf,14.04.26,вторник,17:20-18:50,01 подгруппа,Общая физическая подготовка,Практическое занятие,Стрельникова И.В.,Не указан
24972_2_13042026_26042026.pdf,15.04.26,среда,14:00-15:30,Общая группа,Системный инжиниринг,Практическое занятие,Мельчаков М.А.,Не указан
24972_2_13042026_26042026.pdf,15.04.26,среда,15:45-17:15,Общая группа,Системный инжиниринг,Практическое занятие,Мельчаков М.А.,Не указан
24972_2_13042026_26042026.pdf,15.04.26,среда,17:20-18:50,Общая группа,Общая теория печей,Лекция,Толстобров А.К.,Не указан
24972_2_13042026_26042026.pdf,15.04.26,среда,18:55-20:25,Общая группа,Общая теория печей,Лекция,Толстобров А.К.,Не указан
24972_2_13042026_26042026.pdf,17.04.26,пятница,08:20-09:50,Общая группа,Специальные стали,Лекция,Скворцов А.И.,Не указан
24972_2_13042026_26042026.pdf,17.04.26,пятница,10:00-11:30,Общая группа,Специальные стали,Практическое занятие,Скворцов А.И.,Не указан
24972_2_13042026_26042026.pdf,20.04.26,понедельник,10:00-11:30,Общая группа,Экология,Практическое занятие,Зимонина Н.М.,Не указан
24972_2_13042026_26042026.pdf,20.04.26,понедельник,11:45-13:15,Общая группа,Экология,Практическое занятие,Зимонина Н.М.,Не указан
24972_2_13042026_26042026.pdf,20.04.26,понедельник,17:20-18:50,Общая группа,Общая теория печей,Практическое занятие,Толстобров А.К.,Не указан
24972_2_13042026_26042026.pdf,20.04.26,понедельник,18:55-20:25,Общая группа,Общая теория печей в рамках практической подготовки,Лабораторная работа,Толстобров А.К.,Не указан
24972_2_13042026_26042026.pdf,21.04.26,вторник,17:20-18:50,01 подгруппа,Общая физическая подготовка,Практическое занятие,Стрельникова И.В.,Не указан
24972_2_13042026_26042026.pdf,22.04.26,среда,10:00-11:30,Общая группа,Электрооборудование цехов,Лекция,Торопова А.К.,Не указан
24972_2_13042026_26042026.pdf,22.04.26,среда,11:45-13:15,Общая группа,Электрооборудование цехов,Лекция,Торопова А.К.,Не указан
24972_2_13042026_26042026.pdf,24.04.26,пятница,17:20-18:50,Общая группа,Общая теория печей,Лекция,Толстобров А.К.,Не указан
24972_2_13042026_26042026.pdf,24.04.26,пятница,18:55-20:25,Общая группа,Общая теория печей,Практическое занятие,Толстобров А.К.,Не указан
