Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25598_2_13042026_26042026.pdf,13.04.26,понедельник,17:20-18:50,Общая группа,Научные исследования и моделирование процессов деревообработки,Практическое занятие,Васильева Е.С.,10-206
25598_2_13042026_26042026.pdf,13.04.26,понедельник,18:55-20:25,Общая группа,Научные исследования и моделирование процессов деревообработки,Практическое занятие,Васильева Е.С.,10-206
25598_2_13042026_26042026.pdf,14.04.26,вторник,17:20-18:50,Общая группа,Теория и технология защитно-декоративных покрытий изделий из древесины,Лекция,Тарбеева Н.А.,9-001
25598_2_13042026_26042026.pdf,14.04.26,вторник,18:55-20:25,Общая группа,Теория и технология защитно-декоративных покрытий изделий из древесины,Лекция,Тарбеева Н.А.,9-001
25598_2_13042026_26042026.pdf,16.04.26,четверг,17:20-18:50,Общая группа,Теория и технология защитно-декоративных покрытий изделий из древесины,Практическое занятие,Тарбеева Н.А.,10-214
25598_2_13042026_26042026.pdf,16.04.26,четверг,18:55-20:25,Общая группа,Теория и технология защитно-декоративных покрытий изделий из древесины,Практическое занятие,Тарбеева Н.А.,10-214
25598_2_13042026_26042026.pdf,18.04.26,суббота,08:20-09:50,Общая группа,Управление предприятием лесного комплекса,Лекция,Грабар А.А.,2-405
25598_2_13042026_26042026.pdf,18.04.26,суббота,10:00-11:30,Общая группа,Управление предприятием лесного комплекса,Практическое занятие,Грабар А.А.,2-405
25598_2_13042026_26042026.pdf,18.04.26,суббота,11:45-13:15,Общая группа,Управление предприятием лесного комплекса,Практическое занятие,Грабар А.А.,2-405
25598_2_13042026_26042026.pdf,20.04.26,понедельник,17:20-18:50,Общая группа,Теория и технология защитно-декоративных покрытий изделий из древесины,Лабораторная работа,Тарбеева Н.А.,9-001
25598_2_13042026_26042026.pdf,20.04.26,понедельник,18:55-20:25,Общая группа,Теория и технология защитно-декоративных покрытий изделий из древесины,Лабораторная работа,Тарбеева Н.А.,9-001
25598_2_13042026_26042026.pdf,21.04.26,вторник,17:20-18:50,Общая группа,Научные исследования и моделирование процессов деревообработки,Практическое занятие,Васильева Е.С.,10-206
25598_2_13042026_26042026.pdf,21.04.26,вторник,18:55-20:25,Общая группа,Научные исследования и моделирование процессов деревообработки,Практическое занятие,Васильева Е.С.,10-206
25598_2_13042026_26042026.pdf,23.04.26,четверг,17:20-18:50,Общая группа,Компьютерное проектирование изделий из древесины,Лабораторная работа,Ведерников Я.Д.,10-207
25598_2_13042026_26042026.pdf,23.04.26,четверг,18:55-20:25,Общая группа,Компьютерное проектирование изделий из древесины,Лабораторная работа,Ведерников Я.Д.,10-207
25598_2_13042026_26042026.pdf,24.04.26,пятница,17:20-18:50,Общая группа,Теория и технология защитно-декоративных покрытий изделий из древесины,Практическое занятие,Тарбеева Н.А.,10-214
25598_2_13042026_26042026.pdf,24.04.26,пятница,18:55-20:25,Общая группа,Теория и технология защитно-декоративных покрытий изделий из древесины,Практическое занятие,Тарбеева Н.А.,10-214
