Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25959_2_13042026_26042026.pdf,14.04.26,вторник,17:20-18:50,Общая группа,Нейронные сети,Лекция,Котельников Е.В.,16-320
25959_2_13042026_26042026.pdf,14.04.26,вторник,18:55-20:25,Общая группа,Нейронные сети,Лекция,Котельников Е.В.,16-320
25959_2_13042026_26042026.pdf,15.04.26,среда,17:20-18:50,Общая группа,Прикладной статистический анализ данных,Лекция,Чупраков Д.В.,16-407
25959_2_13042026_26042026.pdf,15.04.26,среда,18:55-20:25,Общая группа,Прикладной статистический анализ данных,Лекция,Чупраков Д.В.,16-407
25959_2_13042026_26042026.pdf,16.04.26,четверг,17:20-18:50,Общая группа,Прикладной статистический анализ данных,Лабораторная работа,Чупраков Д.В.,16-414
25959_2_13042026_26042026.pdf,16.04.26,четверг,18:55-20:25,Общая группа,Прикладной статистический анализ данных,Лабораторная работа,Чупраков Д.В.,16-414
25959_2_13042026_26042026.pdf,18.04.26,суббота,10:00-11:30,Общая группа,Нейронные сети,Лабораторная работа,Татаринова А.Г.,16-320
25959_2_13042026_26042026.pdf,18.04.26,суббота,11:45-13:15,Общая группа,Нейронные сети,Лабораторная работа,Татаринова А.Г.,16-320
25959_2_13042026_26042026.pdf,20.04.26,понедельник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Юрлова О.А.,2-102
25959_2_13042026_26042026.pdf,20.04.26,понедельник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Юрлова О.А.,2-102
25959_2_13042026_26042026.pdf,21.04.26,вторник,17:20-18:50,Общая группа,Прикладной статистический анализ данных,Лабораторная работа,Чупраков Д.В.,16-414
25959_2_13042026_26042026.pdf,21.04.26,вторник,18:55-20:25,Общая группа,Прикладной статистический анализ данных,Лабораторная работа,Чупраков Д.В.,16-414
25959_2_13042026_26042026.pdf,25.04.26,суббота,10:00-11:30,Общая группа,Нейронные сети,Лабораторная работа,Татаринова А.Г.,16-320
25959_2_13042026_26042026.pdf,25.04.26,суббота,11:45-13:15,Общая группа,Нейронные сети,Лабораторная работа,Татаринова А.Г.,16-320
25959_2_13042026_26042026.pdf,25.04.26,суббота,14:00-15:30,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Юрлова О.А.,2-407
25959_2_13042026_26042026.pdf,25.04.26,суббота,15:45-17:15,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Юрлова О.А.,2-407
