Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24767_2_13042026_26042026.pdf,14.04.26,понедельник,14:00-15:30,Общая группа,Маркетинг,Лекция,Лесных Н.Ю.,16-313
24767_2_13042026_26042026.pdf,14.04.26,понедельник,15:45-17:15,Общая группа,Маркетинг,Практическое занятие,Лесных Н.Ю.,16-313
24767_2_13042026_26042026.pdf,14.04.26,вторник,10:00-11:30,Общая группа,Статистика,Лекция,Воронцова Н.Д.,16-313
24767_2_13042026_26042026.pdf,14.04.26,вторник,14:00-15:30,Общая группа,Статистика,Практическое занятие,Воронцова Н.Д.,16-313
24767_2_13042026_26042026.pdf,15.04.26,среда,10:00-11:30,Общая группа,Современные программные решения на платформе 1С,Лабораторная работа,Бачуринская И.Н.,16-209
24767_2_13042026_26042026.pdf,15.04.26,среда,11:45-13:15,Общая группа,Современные программные решения на платформе 1С,Лабораторная работа,Бачуринская И.Н.,16-209
24767_2_13042026_26042026.pdf,16.04.26,четверг,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
24767_2_13042026_26042026.pdf,16.04.26,четверг,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Шапков Ю.В.,14-106
24767_2_13042026_26042026.pdf,16.04.26,четверг,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039),Практическое занятие,Полубоярцев С.А.,14-106
24767_2_13042026_26042026.pdf,16.04.26,четверг,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039),Практическое занятие,Полубоярцев С.А.,14-106
24767_2_13042026_26042026.pdf,16.04.26,четверг,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлюпина Е.Г.,14-147
24767_2_13042026_26042026.pdf,16.04.26,четверг,11:45-13:15,Общая группа,Бухгалтерский финансовый учет,Лекция,Гамулинская Н.В.,16-224
24767_2_13042026_26042026.pdf,16.04.26,четверг,14:00-15:30,Общая группа,Бухгалтерский финансовый учет,Практическое занятие,Гамулинская Н.В.,16-224
24767_2_13042026_26042026.pdf,20.04.26,понедельник,11:45-13:15,Общая группа,Статистика,Лекция,Воронцова Н.Д.,16-313
24767_2_13042026_26042026.pdf,20.04.26,понедельник,14:00-15:30,Общая группа,Статистика,Практическое занятие,Воронцова Н.Д.,16-311
24767_2_13042026_26042026.pdf,21.04.26,вторник,14:00-15:30,Общая группа,Маркетинг,Лекция,Лесных Н.Ю.,16-313
24767_2_13042026_26042026.pdf,21.04.26,вторник,15:45-17:15,Общая группа,Маркетинг,Практическое занятие,Лесных Н.Ю.,16-313
24767_2_13042026_26042026.pdf,22.04.26,среда,08:20-09:50,Общая группа,Налоги и налогообложение,Лекция,Горячих С.П.,16-313
24767_2_13042026_26042026.pdf,22.04.26,среда,10:00-11:30,Общая группа,Современные программные решения на платформе 1С,Лабораторная работа,Бачуринская И.Н.,16-209
24767_2_13042026_26042026.pdf,22.04.26,среда,11:45-13:15,Общая группа,Современные программные решения на платформе 1С,Лабораторная работа,Бачуринская И.Н.,16-209
24767_2_13042026_26042026.pdf,23.04.26,четверг,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
24767_2_13042026_26042026.pdf,23.04.26,четверг,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Шапков Ю.В.,14-106
24767_2_13042026_26042026.pdf,23.04.26,четверг,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039),Практическое занятие,Полубоярцев С.А.,14-106
24767_2_13042026_26042026.pdf,23.04.26,четверг,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039),Практическое занятие,Полубоярцев С.А.,14-106
