Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26556_1_14092026_27092026.pdf,14.09.26,понедельник,14:00-15:30,Общая группа,Современные физико-химические методы исследований биологически активных веществ,Лабораторная работа,Конова А.Д.,1-324
26556_1_14092026_27092026.pdf,14.09.26,понедельник,15:45-17:15,Общая группа,Современные физико-химические методы исследований биологически активных веществ,Лабораторная работа,Конова А.Д.,1-324
26556_1_14092026_27092026.pdf,14.09.26,понедельник,17:20-18:50,Общая группа,Современные физико-химические методы исследований биологически активных веществ,Лабораторная работа,Конова А.Д.,1-324
26556_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,Общая группа,Современные физико-химические методы исследований биологически активных веществ,Лекция,Захаров А.В.,1-439
26556_1_14092026_27092026.pdf,15.09.26,вторник,14:00-15:30,Общая группа,Специальные главы биохимии,Лекция,Лундовских И.А.,1-128
26556_1_14092026_27092026.pdf,15.09.26,вторник,15:45-17:15,Общая группа,Специальные главы биохимии,Практическое занятие,Лундовских И.А.,1-128
26556_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,01 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 126) , Элективные дисциплины (модули) по",Практическое занятие,Пластинина В.Б.,9-208
26556_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлусьянов О.В.,9-116
26556_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Салопин О.М.,9-209
26556_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Хвостенко С.Ю.,9-102
26556_1_14092026_27092026.pdf,16.09.26,среда,14:00-15:30,Общая группа,Основы переработки сырья животного и растительного происхождения Базарбаева В..,Лабораторная работа,Не указан,1-328
26556_1_14092026_27092026.pdf,16.09.26,среда,15:45-17:15,Общая группа,Основы переработки сырья животного и растительного происхождения Базарбаева В..,Лабораторная работа,Не указан,1-328
26556_1_14092026_27092026.pdf,17.09.26,четверг,10:00-11:30,Общая группа,Основы переработки сырья животного и растительного происхождения,Лекция,Гордина Е.Н.,1-313
26556_1_14092026_27092026.pdf,17.09.26,четверг,11:45-13:15,Общая группа,Основы переработки сырья животного и растительного происхождения,Практическое занятие,Гордина Е.Н.,1-313
26556_1_14092026_27092026.pdf,17.09.26,четверг,14:00-15:30,Общая группа,Частная микробиология,Лекция,Позолотина Н.В.,1-531
26556_1_14092026_27092026.pdf,17.09.26,четверг,15:45-17:15,Общая группа,Частная микробиология,Практическое занятие,Позолотина Н.В.,1-531
26556_1_14092026_27092026.pdf,18.09.26,пятница,10:00-11:30,Общая группа,Процессы и аппараты биотехнологии,Лекция,Дудина Л.Г.,1-516
26556_1_14092026_27092026.pdf,18.09.26,пятница,11:45-13:15,Общая группа,Процессы и аппараты биотехнологии,Практическое занятие,Гордина Е.Н.,1-516
26556_1_14092026_27092026.pdf,18.09.26,пятница,14:00-15:30,Общая группа,Биотехнология,Лабораторная работа,Злобин А.А.,1-328
26556_1_14092026_27092026.pdf,18.09.26,пятница,15:45-17:15,Общая группа,Биотехнология,Лабораторная работа,Злобин А.А.,1-328
26556_1_14092026_27092026.pdf,21.09.26,понедельник,10:00-11:30,Общая группа,Биотехнология,Лекция,Злобин А.А.,1-516
26556_1_14092026_27092026.pdf,21.09.26,понедельник,11:45-13:15,Общая группа,Биотехнология,Практическое занятие,Злобин А.А.,1-516
26556_1_14092026_27092026.pdf,21.09.26,понедельник,14:00-15:30,Общая группа,Процессы и аппараты биотехнологии,Лабораторная работа,Гордина Е.Н.,1-106
26556_1_14092026_27092026.pdf,21.09.26,понедельник,15:45-17:15,Общая группа,Процессы и аппараты биотехнологии,Лабораторная работа,Гордина Е.Н.,1-106
26556_1_14092026_27092026.pdf,22.09.26,вторник,11:45-13:15,Общая группа,Современные физико-химические методы исследований биологически активных веществ,Лекция,Захаров А.В.,1-128
26556_1_14092026_27092026.pdf,22.09.26,вторник,14:00-15:30,Общая группа,Специальные главы биохимии,Лекция,Лундовских И.А.,1-128
