Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27088_1_14092026_27092026.pdf,14.09.26,понедельник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Пономаренко Л.Н.,1-236
27088_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Современные проблемы биологии и молекулярной биологии,Практическое занятие,Позолотина Н.В.,4-104
27088_1_14092026_27092026.pdf,16.09.26,среда,17:20-18:50,Общая группа,Язык и стиль научного текста,Лекция,Злобин А.А.,1-534
27088_1_14092026_27092026.pdf,16.09.26,среда,18:55-20:25,Общая группа,Язык и стиль научного текста,Практическое занятие,Злобин А.А.,1-534
27088_1_14092026_27092026.pdf,17.09.26,четверг,08:20-09:50,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,17.09.26,четверг,10:00-11:30,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,17.09.26,четверг,11:45-13:15,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,17.09.26,четверг,14:00-15:30,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,17.09.26,четверг,15:45-17:15,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,18.09.26,пятница,08:20-09:50,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-120а
27088_1_14092026_27092026.pdf,18.09.26,пятница,10:00-11:30,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-120а
27088_1_14092026_27092026.pdf,18.09.26,пятница,11:45-13:15,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-120а
27088_1_14092026_27092026.pdf,18.09.26,пятница,14:00-15:30,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-120а
27088_1_14092026_27092026.pdf,18.09.26,пятница,15:45-17:15,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-120а
27088_1_14092026_27092026.pdf,19.09.26,суббота,08:20-09:50,Общая группа,Компьютерные технологии в биологии,Практическое занятие,Ходырев Г.Н.,1-117а
27088_1_14092026_27092026.pdf,19.09.26,суббота,10:00-11:30,Общая группа,Компьютерные технологии в биологии,Лекция,Ходырев Г.Н.,4-302
27088_1_14092026_27092026.pdf,21.09.26,понедельник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Пономаренко Л.Н.,1-236
27088_1_14092026_27092026.pdf,21.09.26,понедельник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Пономаренко Л.Н.,1-236
27088_1_14092026_27092026.pdf,22.09.26,вторник,17:20-18:50,Общая группа,Защита интеллектуальной собственности,Лекция,Тупицына Е.Г.,1-236
27088_1_14092026_27092026.pdf,22.09.26,вторник,18:55-20:25,Общая группа,Защита интеллектуальной собственности,Практическое занятие,Тупицына Е.Г.,1-236
27088_1_14092026_27092026.pdf,23.09.26,среда,08:20-09:50,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,23.09.26,среда,10:00-11:30,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,23.09.26,среда,11:45-13:15,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,24.09.26,четверг,17:20-18:50,Общая группа,Современные проблемы биологии и молекулярной биологии,Лекция,Позолотина Н.В.,4-104
27088_1_14092026_27092026.pdf,24.09.26,четверг,18:55-20:25,Общая группа,Современные проблемы биологии и молекулярной биологии,Практическое занятие,Позолотина Н.В.,4-104
27088_1_14092026_27092026.pdf,25.09.26,пятница,17:20-18:50,Общая группа,История и методология биологии и молекулярной биологии,Лекция,Позолотина Н.В.,4-104
27088_1_14092026_27092026.pdf,25.09.26,пятница,18:55-20:25,Общая группа,История и методология биологии и молекулярной биологии,Практическое занятие,Позолотина Н.В.,4-104
27088_1_14092026_27092026.pdf,26.09.26,суббота,08:20-09:50,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,26.09.26,суббота,10:00-11:30,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,26.09.26,суббота,11:45-13:15,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,26.09.26,суббота,14:00-15:30,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
27088_1_14092026_27092026.pdf,26.09.26,суббота,15:45-17:15,Общая группа,"Производственная практика № 1, научно-исследовательская работа",Не указан,Не указан,1-118
