Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26585_1_14092026_27092026.pdf,14.09.26,понедельник,10:00-11:30,Общая группа,Практический курс первого иностранного языка (английский язык),Практическое занятие,Загриева О.Е.,15-226
26585_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,Общая группа,Практический курс первого иностранного языка (английский язык),Практическое занятие,Загриева О.Е.,15-226
26585_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Шапков Ю.В.,14-108/3
26585_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Рябова Ю.С.,14-108
26585_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Мешенина Н.В.,14-108/2
26585_1_14092026_27092026.pdf,15.09.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Загребина Л.А.,14-115
26585_1_14092026_27092026.pdf,15.09.26,вторник,14:00-15:30,Общая группа,Зарубежная литература,Лекция,Загриева О.Е.,15-223
26585_1_14092026_27092026.pdf,15.09.26,вторник,15:45-17:15,Общая группа,Практический курс первого иностранного языка (английский язык),Практическое занятие,Загриева О.Е.,15-219
26585_1_14092026_27092026.pdf,16.09.26,среда,10:00-11:30,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Саломау Д.Б.,15-212
26585_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Саломау Д.Б.,15-212
26585_1_14092026_27092026.pdf,16.09.26,среда,14:00-15:30,Общая группа,Лингвострановедение первого иностранного языка (английский язык),Лекция,Ломб С.Э.,15-218
26585_1_14092026_27092026.pdf,16.09.26,среда,15:45-17:15,Общая группа,Лингвострановедение первого иностранного языка (английский язык),Практическое занятие,Ломб С.Э.,15-218
26585_1_14092026_27092026.pdf,17.09.26,четверг,10:00-11:30,Общая группа,История России,Лекция,Зорин А.В.,15-211
