Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26687_1_14092026_27092026.pdf,14.09.26,понедельник,11:45-13:15,Общая группа,Специальная психология,Лекция,Шишкина А.Н.,15-228
26687_1_14092026_27092026.pdf,14.09.26,понедельник,14:00-15:30,Общая группа,Специальная психология,Практическое занятие,Шишкина А.Н.,15-228
26687_1_14092026_27092026.pdf,14.09.26,понедельник,15:45-17:15,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями,Практическое занятие,Городилова С.А.,15-339
26687_1_14092026_27092026.pdf,15.09.26,вторник,11:45-13:15,Общая группа,Введение в клиническую психологию,Практическое занятие,Шешукова Н.Н.,15-117
26687_1_14092026_27092026.pdf,15.09.26,вторник,14:00-15:30,Общая группа,Основы психологического консультирования,Лекция,Матвеева Е.В.,15-228
26687_1_14092026_27092026.pdf,15.09.26,вторник,15:45-17:15,Общая группа,Основы психологического консультирования,Практическое занятие,Матвеева Е.В.,15-228
26687_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Рябова А.Н.,15-250
26687_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131) .,Практическое занятие,Рябова А.Н.,15-250
26687_1_14092026_27092026.pdf,16.09.26,среда,14:00-15:30,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями,Лекция,Городилова С.А.,15-337
26687_1_14092026_27092026.pdf,16.09.26,среда,15:45-17:15,Общая группа,Обучение лиц с ОВЗ и особыми образовательными потребностями,Практическое занятие,Городилова С.А.,15-337
26687_1_14092026_27092026.pdf,17.09.26,четверг,14:00-15:30,Общая группа,Введение в клиническую психологию,Лекция,Шешукова Н.Н.,15-426
26687_1_14092026_27092026.pdf,17.09.26,четверг,15:45-17:15,Общая группа,Введение в клиническую психологию,Практическое занятие,Шешукова Н.Н.,15-426
26687_1_14092026_27092026.pdf,18.09.26,пятница,14:00-15:30,Общая группа,Основы социально-психологического тренинга,Лекция,Савватеева М.С.,15-219
26687_1_14092026_27092026.pdf,18.09.26,пятница,15:45-17:15,Общая группа,Основы социально-психологического тренинга,Практическое занятие,Савватеева М.С.,15-219
26687_1_14092026_27092026.pdf,18.09.26,пятница,17:20-18:50,Общая группа,Психология управления,Лекция,Личутина М.Г.,15-337
26687_1_14092026_27092026.pdf,18.09.26,пятница,18:55-20:25,Общая группа,Психология управления,Практическое занятие,Личутина М.Г.,15-337
26687_1_14092026_27092026.pdf,21.09.26,понедельник,14:00-15:30,Общая группа,Специальная психология,Лекция,Шишкина А.Н.,15-426
26687_1_14092026_27092026.pdf,21.09.26,понедельник,15:45-17:15,Общая группа,Специальная психология,Практическое занятие,Шишкина А.Н.,15-426
26687_1_14092026_27092026.pdf,21.09.26,понедельник,17:20-18:50,Общая группа,Юридическая психология,Лекция,Личутина М.Г.,15-337
26687_1_14092026_27092026.pdf,21.09.26,понедельник,18:55-20:25,Общая группа,Юридическая психология,Практическое занятие,Личутина М.Г.,15-337
26687_1_14092026_27092026.pdf,22.09.26,вторник,11:45-13:15,Общая группа,Основы социально-психологического тренинга,Лекция,Савватеева М.С.,15-223
26687_1_14092026_27092026.pdf,22.09.26,вторник,14:00-15:30,Общая группа,Основы социально-психологического тренинга,Практическое занятие,Савватеева М.С.,15-223
26687_1_14092026_27092026.pdf,22.09.26,вторник,15:45-17:15,Общая группа,Специальная психология,Практическое занятие,Шишкина А.Н.,15-102
26687_1_14092026_27092026.pdf,23.09.26,среда,08:20-09:50,Общая группа,Основы социально-психологического тренинга,Практическое занятие,Савватеева М.С.,15-102
26687_1_14092026_27092026.pdf,23.09.26,среда,10:00-11:30,Общая группа,Основы социально-психологического тренинга,Практическое занятие,Савватеева М.С.,15-102
26687_1_14092026_27092026.pdf,23.09.26,среда,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Рябова А.Н.,15-111
26687_1_14092026_27092026.pdf,23.09.26,среда,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Рябова А.Н.,15-111
26687_1_14092026_27092026.pdf,24.09.26,четверг,14:00-15:30,Общая группа,Введение в клиническую психологию,Лекция,Шешукова Н.Н.,15-426
26687_1_14092026_27092026.pdf,24.09.26,четверг,15:45-17:15,Общая группа,Введение в клиническую психологию,Практическое занятие,Шешукова Н.Н.,15-426
26687_1_14092026_27092026.pdf,24.09.26,четверг,17:20-18:50,Общая группа,Юридическая психология,Лекция,Личутина М.Г.,15-337
26687_1_14092026_27092026.pdf,24.09.26,четверг,18:55-20:25,Общая группа,Юридическая психология,Практическое занятие,Личутина М.Г.,15-337
26687_1_14092026_27092026.pdf,25.09.26,пятница,14:00-15:30,Общая группа,Основы социально-психологического тренинга,Практическое занятие,Савватеева М.С.,15-434
26687_1_14092026_27092026.pdf,25.09.26,пятница,15:45-17:15,Общая группа,Основы социально-психологического тренинга,Практическое занятие,Савватеева М.С.,15-434
26687_1_14092026_27092026.pdf,25.09.26,пятница,17:20-18:50,Общая группа,Психология управления,Практическое занятие,Личутина М.Г.,15-332
26687_1_14092026_27092026.pdf,25.09.26,пятница,18:55-20:25,Общая группа,Психология управления,Практическое занятие,Личутина М.Г.,15-332
