Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25449_2_13042026_26042026.pdf,15.04.26,понедельник,17:20-18:50,Общая группа,Молодежные субкультуры,Лекция,Москвин А.С.,14-211
25449_2_13042026_26042026.pdf,15.04.26,понедельник,18:55-20:25,Общая группа,Молодежные субкультуры,Практическое занятие,Москвин А.С.,14-211
25449_2_13042026_26042026.pdf,15.04.26,среда,17:20-18:50,Общая группа,Методы обработки социологических данных Бушкова,Практическое занятие,Шиклина Э.В.,14-133
25449_2_13042026_26042026.pdf,15.04.26,среда,18:55-20:25,Общая группа,Методы обработки социологических данных Бушкова,Практическое занятие,Шиклина Э.В.,14-133
25449_2_13042026_26042026.pdf,16.04.26,четверг,17:20-18:50,Общая группа,Качественные методы в комплексном социологическом исследовании,Лекция,Кушова И.А.,14-210
25449_2_13042026_26042026.pdf,16.04.26,четверг,18:55-20:25,Общая группа,Качественные методы в комплексном социологическом исследовании,Практическое занятие,Кушова И.А.,14-210
25449_2_13042026_26042026.pdf,17.04.26,пятница,17:20-18:50,Общая группа,Актуальные проблемы социального развития современной России,Лекция,Немчанинова Е.Н.,14-210
25449_2_13042026_26042026.pdf,17.04.26,пятница,18:55-20:25,Общая группа,Актуальные проблемы социального развития современной России,Практическое занятие,Немчанинова Е.Н.,14-210
25449_2_13042026_26042026.pdf,18.04.26,суббота,10:00-11:30,Общая группа,Организация социального взаимодействия в трудовом профессиональном коллективе,Лекция,Волченкова Е.В.,14-211
25449_2_13042026_26042026.pdf,18.04.26,суббота,11:45-13:15,Общая группа,Организация социального взаимодействия в трудовом профессиональном коллективе,Практическое занятие,Волченкова Е.В.,14-211
25449_2_13042026_26042026.pdf,21.04.26,вторник,17:20-18:50,Общая группа,"Научно-исследовательский семинар ""Комплексный социальный анализ""",Практическое занятие,Бушкова-Шиклина Э.В.,14-133
25449_2_13042026_26042026.pdf,21.04.26,вторник,18:55-20:25,Общая группа,"Научно-исследовательский семинар ""Комплексный социальный анализ""",Практическое занятие,Бушкова-Шиклина Э.В.,14-133
25449_2_13042026_26042026.pdf,23.04.26,четверг,17:20-18:50,Общая группа,Теория и практика онлайн-исследований,Лекция,Москвин А.С.,14-211
25449_2_13042026_26042026.pdf,23.04.26,четверг,18:55-20:25,Общая группа,Теория и практика онлайн-исследований,Практическое занятие,Москвин А.С.,14-211
25449_2_13042026_26042026.pdf,24.04.26,пятница,17:20-18:50,Общая группа,Организация социального взаимодействия в трудовом профессиональном коллективе,Лекция,Волченкова Е.В.,14-211
25449_2_13042026_26042026.pdf,24.04.26,пятница,18:55-20:25,Общая группа,Организация социального взаимодействия в трудовом профессиональном коллективе,Практическое занятие,Волченкова Е.В.,14-211
25449_2_13042026_26042026.pdf,25.04.26,суббота,10:00-11:30,Общая группа,Актуальные проблемы социального развития современной России,Лекция,Немчанинова Е.Н.,14-210
25449_2_13042026_26042026.pdf,25.04.26,суббота,11:45-13:15,Общая группа,Актуальные проблемы социального развития современной России,Практическое занятие,Немчанинова Е.Н.,14-210
