Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27107_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,Общая группа,Материаловедение и технологии современных и перспективных материалов,Практическое занятие,Лисовская О.Б.,1-531
27107_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Материаловедение и технологии современных и перспективных материалов,Практическое занятие,Лисовская О.Б.,1-531
27107_1_14092026_27092026.pdf,16.09.26,среда,17:20-18:50,Общая группа,Компьютерное моделирование конструкций,Лабораторная работа,Маринин Е.А.,10-206
27107_1_14092026_27092026.pdf,16.09.26,среда,18:55-20:25,Общая группа,Компьютерное моделирование конструкций,Лабораторная работа,Маринин Е.А.,10-206
27107_1_14092026_27092026.pdf,17.09.26,четверг,17:20-18:50,Общая группа,Основы нейросетей,Лекция,Карпов А.А.,1-331
27107_1_14092026_27092026.pdf,17.09.26,четверг,18:55-20:25,Общая группа,Основы нейросетей,Практическое занятие,Карпов А.А.,1-331
27107_1_14092026_27092026.pdf,18.09.26,пятница,17:20-18:50,Общая группа,Математическое моделирование и современные проблемы наук о материалах и процессах,Практическое занятие,Маринин Е.А.,1-313
27107_1_14092026_27092026.pdf,18.09.26,пятница,18:55-20:25,Общая группа,Математическое моделирование и современные проблемы наук о материалах и процессах,Практическое занятие,Маринин Е.А.,1-313
27107_1_14092026_27092026.pdf,19.09.26,суббота,17:20-18:50,Общая группа,Основы нейросетей,Лекция,Карпов А.А.,1-331
27107_1_14092026_27092026.pdf,19.09.26,суббота,18:55-20:25,Общая группа,Основы нейросетей,Практическое занятие,Карпов А.А.,1-331
27107_1_14092026_27092026.pdf,24.09.26,четверг,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Злобина Е.А.,6-310
27107_1_14092026_27092026.pdf,25.09.26,пятница,17:20-18:50,Общая группа,Материаловедение и технологии современных и перспективных материалов,Лабораторная работа,Лисовская О.Б.,1-331
27107_1_14092026_27092026.pdf,25.09.26,пятница,18:55-20:25,Общая группа,Материаловедение и технологии современных и перспективных материалов,Лабораторная работа,Лисовская О.Б.,1-331
