Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26851_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,Общая группа,Специальная подготовка (огневая подготовка),Лекция,Дубинин Д.Ю.,13-111
26851_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Специальная подготовка (огневая подготовка),Лекция,Дубинин Д.Ю.,13-111
26851_1_14092026_27092026.pdf,16.09.26,среда,17:20-18:50,Общая группа,Специальная подготовка (тактико-специальная подготовка),Лекция,Дубинин Д.Ю.,13-111
26851_1_14092026_27092026.pdf,16.09.26,среда,18:55-20:25,Общая группа,Специальная подготовка (специальная техника и специальные средства),Лекция,Дубинин Д.Ю.,13-111
26851_1_14092026_27092026.pdf,18.09.26,пятница,10:00-11:30,Общая группа,Основы теории национальной безопасности,Практическое занятие,Мартьянова С.А.,13-405
26851_1_14092026_27092026.pdf,18.09.26,пятница,11:45-13:15,Общая группа,Основы теории национальной безопасности,Практическое занятие,Мартьянова С.А.,13-405
26851_1_14092026_27092026.pdf,18.09.26,пятница,14:00-15:30,Общая группа,Основы теории национальной безопасности,Лекция,Мартьянова С.А.,13-110
26851_1_14092026_27092026.pdf,18.09.26,пятница,15:45-17:15,Общая группа,Юридическая социология,Лекция,Кушова И.А.,13-110
26851_1_14092026_27092026.pdf,19.09.26,суббота,17:20-18:50,Общая группа,Специальная подготовка (тактико-специальная подготовка),Практическое занятие,Дубинин Д.Ю.,14-221
26851_1_14092026_27092026.pdf,19.09.26,суббота,18:55-20:25,Общая группа,Специальная подготовка (тактико-специальная подготовка),Практическое занятие,Дубинин Д.Ю.,14-221
26851_1_14092026_27092026.pdf,21.09.26,понедельник,17:20-18:50,Общая группа,Специальная подготовка (огневая подготовка),Практическое занятие,Дубинин Д.Ю.,13-102а
26851_1_14092026_27092026.pdf,21.09.26,понедельник,18:55-20:25,Общая группа,Специальная подготовка (огневая подготовка),Практическое занятие,Дубинин Д.Ю.,13-102а
26851_1_14092026_27092026.pdf,23.09.26,среда,17:20-18:50,Общая группа,Специальная подготовка (тактико-специальная подготовка),Практическое занятие,Дубинин Д.Ю.,13-608
26851_1_14092026_27092026.pdf,23.09.26,среда,18:55-20:25,Общая группа,Специальная подготовка (специальная техника и специальные средства),Практическое занятие,Дубинин Д.Ю.,13-608
26851_1_14092026_27092026.pdf,25.09.26,пятница,17:20-18:50,Общая группа,Юридическая социология,Практическое занятие,Кушова И.А.,13-511
26851_1_14092026_27092026.pdf,25.09.26,пятница,18:55-20:25,Общая группа,Юридическая социология,Практическое занятие,Кушова И.А.,13-511
26851_1_14092026_27092026.pdf,26.09.26,суббота,17:20-18:50,Общая группа,Специальная подготовка (специальная техника и специальные средства),Практическое занятие,Дубинин Д.Ю.,13-608
26851_1_14092026_27092026.pdf,26.09.26,суббота,18:55-20:25,Общая группа,Специальная подготовка (специальная техника и специальные средства),Практическое занятие,Дубинин Д.Ю.,13-608
