Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
27121_1_14092026_27092026.pdf,15.09.26,вторник,17:20-18:50,Общая группа,Язык и стиль научного текста,Лекция,Александрова Н.С.,15-125
27121_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Язык и стиль научного текста,Практическое занятие,Александрова Н.С.,15-125
27121_1_14092026_27092026.pdf,15.09.26,вторник,18:55-20:25,Общая группа,Иностранный язык,Практическое занятие,Рублёва О.С.,15-116
27121_1_14092026_27092026.pdf,16.09.26,среда,18:55-20:25,Общая группа,Иностранный язык,Практическое занятие,Рублёва О.С.,15-116
27121_1_14092026_27092026.pdf,17.09.26,четверг,17:20-18:50,Общая группа,Специальные и альтернативные средства коммуникации,Лекция,Городилова С.А.,15-116
27121_1_14092026_27092026.pdf,17.09.26,четверг,18:55-20:25,Общая группа,Специальные и альтернативные средства коммуникации,Практическое занятие,Городилова С.А.,15-116
27121_1_14092026_27092026.pdf,18.09.26,пятница,15:45-17:15,Общая группа,Мониторинг морфофункционального состояния обучающихся,Лекция,Морозова М.А.,19-220
27121_1_14092026_27092026.pdf,18.09.26,пятница,17:20-18:50,Общая группа,Мониторинг морфофункционального состояния обучающихся,Лекция,Морозова М.А.,19-219
27121_1_14092026_27092026.pdf,18.09.26,пятница,18:55-20:25,Общая группа,Мониторинг морфофункционального состояния обучающихся,Практическое занятие,Морозова М.А.,19-219
27121_1_14092026_27092026.pdf,19.09.26,суббота,08:20-09:50,Общая группа,Логопедическая диагностика речевых нарушений у детей,Лекция,Башмакова С.Б.,1-401
27121_1_14092026_27092026.pdf,19.09.26,суббота,10:00-11:30,Общая группа,Логопедическая диагностика речевых нарушений у детей,Практическое занятие,Башмакова С.Б.,1-401
27121_1_14092026_27092026.pdf,19.09.26,суббота,11:45-13:15,Общая группа,Логопедическая диагностика речевых нарушений у детей,Практическое занятие,Башмакова С.Б.,1-401
27121_1_14092026_27092026.pdf,21.09.26,понедельник,17:20-18:50,Общая группа,Язык и стиль научного текста,Лекция,Александрова Н.С.,15-125
27121_1_14092026_27092026.pdf,21.09.26,понедельник,18:55-20:25,Общая группа,Язык и стиль научного текста,Практическое занятие,Александрова Н.С.,15-125
27121_1_14092026_27092026.pdf,22.09.26,вторник,18:55-20:25,Общая группа,Иностранный язык,Практическое занятие,Рублёва О.С.,15-116
27121_1_14092026_27092026.pdf,24.09.26,четверг,17:20-18:50,Общая группа,Специальные и альтернативные средства коммуникации,Лекция,Городилова С.А.,14-312
27121_1_14092026_27092026.pdf,24.09.26,четверг,18:55-20:25,Общая группа,Специальные и альтернативные средства коммуникации,Практическое занятие,Городилова С.А.,14-312
27121_1_14092026_27092026.pdf,25.09.26,пятница,15:45-17:15,Общая группа,Мониторинг морфофункционального состояния обучающихся,Лекция,Морозова М.А.,19-220
27121_1_14092026_27092026.pdf,25.09.26,пятница,17:20-18:50,Общая группа,Мониторинг морфофункционального состояния обучающихся,Практическое занятие,Морозова М.А.,19-219
27121_1_14092026_27092026.pdf,25.09.26,пятница,18:55-20:25,Общая группа,Мониторинг морфофункционального состояния обучающихся,Практическое занятие,Морозова М.А.,19-219
27121_1_14092026_27092026.pdf,26.09.26,суббота,08:20-09:50,Общая группа,Логопедическая диагностика речевых нарушений у детей,Лекция,Башмакова С.Б.,2-300
27121_1_14092026_27092026.pdf,26.09.26,суббота,10:00-11:30,Общая группа,Логопедическая диагностика речевых нарушений у детей,Практическое занятие,Башмакова С.Б.,2-300
