Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ИСб-4201-04-00_1.pdf,20.04.26,понедельник,10:00-11:30,Общая группа,Политическая история России и постсоветского пространства Зачет,Не указан,Машковцев А.А.,14-210
сессия_ИСб-4201-04-00_1.pdf,20.04.26,понедельник,11:45-13:15,Общая группа,Политическая история России и постсоветского пространства Зачет,Не указан,Машковцев А.А.,14-210
сессия_ИСб-4201-04-00_1.pdf,21.04.26,вторник,08:20-09:50,Общая группа,Новейшая история стран Европы и Америки Консультация,Не указан,Ильин Д.В.,14-209
сессия_ИСб-4201-04-00_1.pdf,22.04.26,среда,10:00-11:30,Общая группа,Новейшая история стран Европы и Америки Экзамен,Не указан,Ильин Д.В.,14-221
сессия_ИСб-4201-04-00_1.pdf,22.04.26,среда,11:45-13:15,Общая группа,Новейшая история стран Европы и Америки Экзамен,Не указан,Ильин Д.В.,14-221
сессия_ИСб-4201-04-00_1.pdf,24.04.26,пятница,08:20-09:50,Общая группа,Теория и методика преподавания истории Консультация,Не указан,Росина М.А.,14-233
сессия_ИСб-4201-04-00_1.pdf,24.04.26,пятница,10:00-11:30,Общая группа,Теория и методика преподавания истории Экзамен,Не указан,Росина М.А.,14-233
сессия_ИСб-4201-04-00_1.pdf,24.04.26,пятница,11:45-13:15,Общая группа,Теория и методика преподавания истории Экзамен,Не указан,Росина М.А.,14-233
сессия_ИСб-4201-04-00_1.pdf,29.04.26,среда,08:20-09:50,Общая группа,История международных отношений Консультация,Не указан,Смольняк И.В.,14-218
сессия_ИСб-4201-04-00_1.pdf,30.04.26,четверг,08:20-09:50,Общая группа,История международных отношений Экзамен,Не указан,Смольняк И.В.,14-218
сессия_ИСб-4201-04-00_1.pdf,30.04.26,четверг,10:00-11:30,Общая группа,История международных отношений Экзамен,Не указан,Смольняк И.В.,14-218
