Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ФХа-1501-01-00.pdf,22.06.26,понедельник,10:00-11:30,Общая группа,Научный компонент Зачет по НИ,Не указан,Кузьмин А.В.,1-513
сессия_ФХа-1501-01-00.pdf,22.06.26,понедельник,10:00-11:30,Общая группа,Методология и методы научного исследования Зачет,Не указан,Останина О.А.,1-236
сессия_ФХа-1501-01-00.pdf,22.06.26,понедельник,11:45-13:15,Общая группа,Методология и методы научного исследования Зачет,Не указан,Останина О.А.,1-236
сессия_ФХа-1501-01-00.pdf,22.06.26,понедельник,14:00-15:30,Общая группа,Технология подготовки и защиты кандидатской диссертации Зачет,Не указан,Юнгблюд В.Т.,1-236
сессия_ФХа-1501-01-00.pdf,22.06.26,понедельник,15:45-17:15,Общая группа,Технология подготовки и защиты кандидатской диссертации Зачет,Не указан,Юнгблюд В.Т.,1-236
сессия_ФХа-1501-01-00.pdf,23.06.26,вторник,10:00-11:30,Общая группа,Педагогика высшей школы Зачет,Не указан,Коршунова О.В.,1-236
сессия_ФХа-1501-01-00.pdf,23.06.26,вторник,11:45-13:15,Общая группа,Педагогика высшей школы Зачет,Не указан,Коршунова О.В.,1-236
сессия_ФХа-1501-01-00.pdf,23.06.26,вторник,14:00-15:30,Общая группа,Технология подготовки и продвижения научных публикаций Зачет 1,Не указан,Динер Е.В.,1-236
сессия_ФХа-1501-01-00.pdf,23.06.26,вторник,15:45-17:15,Общая группа,Технология подготовки и продвижения научных публикаций Зачет 1,Не указан,Динер Е.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,17:20-18:50,Общая группа,Иностранный язык Консультация,Не указан,Щербакова Т.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,08:20-09:50,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Казаков А.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,08:20-09:50,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Щербакова Т.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,08:20-09:50,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Чупракова О.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,10:00-11:30,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Казаков А.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,10:00-11:30,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Щербакова Т.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,10:00-11:30,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Чупракова О.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,11:45-13:15,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Казаков А.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,11:45-13:15,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Щербакова Т.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,11:45-13:15,Общая группа,Иностранный язык Кандидатский экзамен,Не указан,Чупракова О.В.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,10:00-11:30,Общая группа,История и философия науки Консультация,Не указан,Останина О.А.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,08:20-09:50,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Городилова Т.С.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,08:20-09:50,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Горюнова Т.А.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,08:20-09:50,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Останина О.А.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,08:20-09:50,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Коротышева Н.Н.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,10:00-11:30,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Городилова Т.С.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,10:00-11:30,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Горюнова Т.А.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,10:00-11:30,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Останина О.А.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,10:00-11:30,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Коротышева Н.Н.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,11:45-13:15,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Городилова Т.С.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,11:45-13:15,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Горюнова Т.А.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,11:45-13:15,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Останина О.А.,1-236
сессия_ФХа-1501-01-00.pdf,24.06.26,среда,11:45-13:15,Общая группа,История и философия науки Кандидатский экзамен,Не указан,Коротышева Н.Н.,1-236
