Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25857_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,Общая группа,Иностранный язык,Практическое занятие,Кибишев А.Н.,15-309
25857_2_25052026_07062026.pdf,25.05.26,понедельник,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Загребина Л.А.,14-115
25857_2_25052026_07062026.pdf,25.05.26,понедельник,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Ромашов А.Ю.,9-115
25857_2_25052026_07062026.pdf,25.05.26,понедельник,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Соймонов И.А.,9-209
25857_2_25052026_07062026.pdf,25.05.26,понедельник,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Трушкова Е.Л.,9-102
25857_2_25052026_07062026.pdf,25.05.26,понедельник,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Подковырин В.Д.,19-301
25857_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,Общая группа,Физика,Практическое занятие,Ворончихин С.Г.,15-309
25857_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Физика,Лекция,Ворончихин С.Г.,15-343
25857_2_25052026_07062026.pdf,26.05.26,вторник,14:00-15:30,Общая группа,Теоретические основы химии,Лабораторная работа,Петухов Д.В.,15-419
25857_2_25052026_07062026.pdf,26.05.26,вторник,15:45-17:15,Общая группа,Теоретические основы химии,Лабораторная работа,Петухов Д.В.,15-419
25857_2_25052026_07062026.pdf,27.05.26,среда,10:00-11:30,Общая группа,Теоретические основы географии,Лекция,Пупышева С.А.,15-343
25857_2_25052026_07062026.pdf,27.05.26,среда,11:45-13:15,Общая группа,Теоретические основы химии,Лекция,Береснева Е.В.,15-343
25857_2_25052026_07062026.pdf,28.05.26,четверг,08:20-09:50,Общая группа,Математика,Практическое занятие,Конышева А.В.,15-324
25857_2_25052026_07062026.pdf,28.05.26,четверг,10:00-11:30,Общая группа,Математика,Лекция,Конышева А.В.,15-343
25857_2_25052026_07062026.pdf,28.05.26,четверг,11:45-13:15,Общая группа,Теоретические основы экологии,Лекция,Кондакова Л.В.,15-343
25857_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Кибишев А.Н.,15-309
25857_2_25052026_07062026.pdf,29.05.26,пятница,11:45-13:15,Общая группа,Теоретические основы географии,Практическое занятие,Вартан И.А.,15-324
25857_2_25052026_07062026.pdf,01.06.26,понедельник,08:20-09:50,Общая группа,Управление проектами и работа в команде,Лабораторная работа,Елькин О.В.,15-343
25857_2_25052026_07062026.pdf,01.06.26,понедельник,10:00-11:30,Общая группа,Управление проектами и работа в команде,Лабораторная работа,Елькин О.В.,15-343
25857_2_25052026_07062026.pdf,01.06.26,понедельник,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Загребина Л.А.,14-115
25857_2_25052026_07062026.pdf,01.06.26,понедельник,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Ромашов А.Ю.,9-115
25857_2_25052026_07062026.pdf,01.06.26,понедельник,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Соймонов И.А.,9-209
25857_2_25052026_07062026.pdf,01.06.26,понедельник,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Трушкова Е.Л.,9-102
25857_2_25052026_07062026.pdf,01.06.26,понедельник,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Подковырин В.Д.,19-301
25857_2_25052026_07062026.pdf,02.06.26,вторник,11:45-13:15,Общая группа,Теоретические основы химии,Практическое занятие,Петухов Д.В.,15-309
25857_2_25052026_07062026.pdf,02.06.26,вторник,14:00-15:30,Общая группа,Теоретические основы географии,Практическое занятие,Вартан И.А.,15-309
25857_2_25052026_07062026.pdf,03.06.26,среда,10:00-11:30,Общая группа,Теоретические основы географии,Лекция,Пупышева С.А.,15-343
25857_2_25052026_07062026.pdf,03.06.26,среда,11:45-13:15,Общая группа,Теоретические основы химии,Лекция,Береснева Е.В.,15-343
25857_2_25052026_07062026.pdf,03.06.26,среда,14:00-15:30,Общая группа,Час с куратором,Не указан,Рябов В.М.,15-264
25857_2_25052026_07062026.pdf,04.06.26,четверг,08:20-09:50,Общая группа,Математика,Практическое занятие,Конышева А.В.,15-310
25857_2_25052026_07062026.pdf,04.06.26,четверг,10:00-11:30,Общая группа,Математика,Лекция,Конышева А.В.,15-343
25857_2_25052026_07062026.pdf,04.06.26,четверг,11:45-13:15,Общая группа,Теоретические основы экологии,Лекция,Кондакова Л.В.,15-343
25857_2_25052026_07062026.pdf,05.06.26,пятница,11:45-13:15,Общая группа,Иностранный язык,Практическое занятие,Кибишев А.Н.,15-304
