Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24742_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,02 подгруппа,Фитнес-аэробика,Практическое занятие,Попова Н.Ю.,9-101
24742_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,01 подгруппа,Баскетбол,Практическое занятие,Пластинина В.Б.,9-102
24742_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,01 подгруппа,Волейбол,Практическое занятие,Салопин О.М.,9-208
24742_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,01 подгруппа,Мини-футбол,Практическое занятие,Трушкова Е.Л.,9-102
24742_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,01 подгруппа,Адаптивная физическая культура,Практическое занятие,Хлусьянов О.В.,9-116
24742_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,Общая группа,физическая культура,Практическое занятие,Хлусьянов О.В.,9-116
24742_2_25052026_07062026.pdf,25.05.26,понедельник,14:00-15:30,Общая группа,Архитектурное материаловедение,Лекция,Полевщиков А.С.,6-403
24742_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Градостроительное прогнозирование,Лекция,Соболева И.А.,1-423
24742_2_25052026_07062026.pdf,26.05.26,вторник,14:00-15:30,Общая группа,Градостроительное прогнозирование,Практическое занятие,Соболева И.А.,1-423
24742_2_25052026_07062026.pdf,26.05.26,вторник,15:45-17:15,Общая группа,Градостроительное прогнозирование,Практическое занятие,Соболева И.А.,1-423
24742_2_25052026_07062026.pdf,27.05.26,среда,10:00-11:30,Общая группа,Транспорт,Лекция,Соболева И.А.,1-432
24742_2_25052026_07062026.pdf,27.05.26,среда,11:45-13:15,Общая группа,Транспорт,Практическое занятие,Соболева И.А.,1-432
24742_2_25052026_07062026.pdf,27.05.26,среда,14:00-15:30,Общая группа,Транспорт,Практическое занятие,Соболева И.А.,1-432
24742_2_25052026_07062026.pdf,28.05.26,четверг,10:00-11:30,Общая группа,Землеустройство и кадастр,Практическое занятие,Мочалов С.В.,6-305
24742_2_25052026_07062026.pdf,28.05.26,четверг,11:45-13:15,Общая группа,Землеустройство и кадастр,Лабораторная работа,Мочалов С.В.,6-305
24742_2_25052026_07062026.pdf,01.06.26,понедельник,08:20-09:50,Общая группа,Архитектурное материаловедение,Практическое занятие,Полевщиков А.С.,6-401
24742_2_25052026_07062026.pdf,01.06.26,понедельник,10:00-11:30,Общая группа,Архитектурное материаловедение,Практическое занятие,Полевщиков А.С.,6-401
24742_2_25052026_07062026.pdf,01.06.26,понедельник,11:45-13:15,02 подгруппа,Фитнес-аэробика,Практическое занятие,Попова Н.Ю.,9-101
24742_2_25052026_07062026.pdf,02.06.26,вторник,11:45-13:15,Общая группа,Землеустройство и кадастр,Практическое занятие,Мочалов С.В.,6-305
24742_2_25052026_07062026.pdf,04.06.26,четверг,10:00-11:30,Общая группа,Градостроительное прогнозирование,Лекция,Соболева И.А.,1-423
24742_2_25052026_07062026.pdf,04.06.26,четверг,11:45-13:15,Общая группа,Градостроительное прогнозирование,Практическое занятие,Соболева И.А.,1-423
24742_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,Общая группа,Градостроительное прогнозирование,Практическое занятие,Соболева И.А.,1-423
24742_2_25052026_07062026.pdf,04.06.26,четверг,15:45-17:15,Общая группа,Проектная деятельность,Практическое занятие,Соболева И.А.,1-423
24742_2_25052026_07062026.pdf,05.06.26,пятница,10:00-11:30,Общая группа,Основы информационных систем градостроительной деятельности,Лекция,Писарев А.А.,6-403
24742_2_25052026_07062026.pdf,05.06.26,пятница,11:45-13:15,Общая группа,Основы информационных систем градостроительной деятельности,Лабораторная работа,Писарев А.А.,6-403
24742_2_25052026_07062026.pdf,05.06.26,пятница,14:00-15:30,Общая группа,Основы информационных систем градостроительной деятельности,Лабораторная работа,Писарев А.А.,6-403
24742_2_25052026_07062026.pdf,06.06.26,суббота,08:20-09:50,Общая группа,Основы строительного производства,Лекция,Бузиков Ш.В.,6-204
24742_2_25052026_07062026.pdf,06.06.26,суббота,10:00-11:30,Общая группа,Основы строительного производства,Практическое занятие,Бузиков Ш.В.,6-403
24742_2_25052026_07062026.pdf,06.06.26,суббота,11:45-13:15,Общая группа,Основы строительного производства,Практическое занятие,Бузиков Ш.В.,6-403
