Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,15:45-17:15,Общая группа,Распространение радиоволн и антенно-фидерные устройства Зачет,Не указан,Частиков А.В.,3-105а
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,17:20-18:50,Общая группа,Распространение радиоволн и антенно-фидерные устройства Зачет,Не указан,Частиков А.В.,3-105а
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,14:00-15:30,Общая группа,Безопасность жизнедеятельности Консультация,Не указан,Зонов А.В.,1-529
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Хвостенко С.Ю.,9-101
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 284) Зачет,Не указан,Ромашов А.Ю.,9-115
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 124) Зачет,Не указан,Трушкова Е.Л.,9-102
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Трушкова Е.Л.,9-102
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131) Зачет,Не указан,Ромашов А.Ю.,9-115
сессия_ИКТб-3301-04-00_1.pdf,25.05.26,понедельник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет,Не указан,Попова Н.Ю.,9-101
сессия_ИКТб-3301-04-00_1.pdf,29.05.26,пятница,14:00-15:30,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Зонов А.В.,1-529
сессия_ИКТб-3301-04-00_1.pdf,29.05.26,пятница,15:45-17:15,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Зонов А.В.,1-529
сессия_ИКТб-3301-04-00_1.pdf,30.05.26,суббота,17:20-18:50,Общая группа,Безопасность операционных систем Консультация,Не указан,Трубин И.С.,3-205
сессия_ИКТб-3301-04-00_1.pdf,30.05.26,суббота,08:20-09:50,Общая группа,к и н6 ь2 л 6. е д е 1. 0 н0 о п Безопасность операционных систем Экзамен,Не указан,Трубин И.С.,3-205
сессия_ИКТб-3301-04-00_1.pdf,30.05.26,суббота,10:00-11:30,Общая группа,Безопасность операционных систем Экзамен,Не указан,Трубин И.С.,3-205
сессия_ИКТб-3301-04-00_1.pdf,05.06.26,пятница,08:20-09:50,Общая группа,Сети и системы передачи информации Консультация,Не указан,Лесников В.А.,3-102
сессия_ИКТб-3301-04-00_1.pdf,06.06.26,суббота,11:45-13:15,Общая группа,Сети и системы передачи информации Экзамен,Не указан,Лесников В.А.,3-102
сессия_ИКТб-3301-04-00_1.pdf,06.06.26,суббота,14:00-15:30,Общая группа,Сети и системы передачи информации Экзамен,Не указан,Лесников В.А.,3-102
сессия_ИКТб-3301-04-00_1.pdf,08.06.26,понедельник,10:00-11:30,Общая группа,Русский язык и культура речи Консультация,Не указан,Щербинина Е.В.,2-205
сессия_ИКТб-3301-04-00_1.pdf,09.06.26,вторник,11:45-13:15,Общая группа,Русский язык и культура речи Экзамен,Не указан,Щербинина Е.В.,2-205
сессия_ИКТб-3301-04-00_1.pdf,09.06.26,вторник,14:00-15:30,Общая группа,Русский язык и культура речи Экзамен,Не указан,Щербинина Е.В.,2-205
сессия_ИКТб-3301-04-00_1.pdf,11.06.26,четверг,15:45-17:15,Общая группа,Аппаратные средства вычислительной техники Консультация,Не указан,Земцов М.А.,3-204а
сессия_ИКТб-3301-04-00_1.pdf,13.06.26,суббота,11:45-13:15,Общая группа,Аппаратные средства вычислительной техники Экзамен,Не указан,Земцов М.А.,3-204а
сессия_ИКТб-3301-04-00_1.pdf,13.06.26,суббота,14:00-15:30,Общая группа,Аппаратные средства вычислительной техники Экзамен,Не указан,Земцов М.А.,3-204а
