Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24875_2_25052026_07062026.pdf,25.05.26,понедельник,08:20-09:50,Общая группа,Визуальная социология,Лекция,Бушкова-Шиклина Э.В.,14-133
24875_2_25052026_07062026.pdf,25.05.26,понедельник,10:00-11:30,Общая группа,Визуальная социология,Практическое занятие,Бушкова-Шиклина Э.В.,14-133
24875_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,01 подгруппа,Атлетическая гимнастика,Практическое занятие,Авдеева М.С.,13-001
24875_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,02 подгруппа,Адаптивная физическая культура,Практическое занятие,Крестьянинова О.В.,14-147
24875_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,Общая группа,физическая культура,Практическое занятие,Крестьянинова О.В.,14-147
24875_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,02 подгруппа,Волейбол,Практическое занятие,Мешенина Н.В.,14-108
24875_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,02 подгруппа,Фитнес-аэробика,Практическое занятие,Рябова Ю.С.,14-115
24875_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,Общая группа,Социология гендера,Лекция,Голенок М.П.,14-210
24875_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Фокус-группы в социологических исследованиях,Лекция,Бушкова-Шиклина Э.В.,14-133
24875_2_25052026_07062026.pdf,26.05.26,вторник,14:00-15:30,Общая группа,Фокус-группы в социологических исследованиях Бушкова,Практическое занятие,Шиклина Э.В.,14-133
24875_2_25052026_07062026.pdf,27.05.26,среда,10:00-11:30,Общая группа,Социология гендера,Практическое занятие,Голенок М.П.,14-208
24875_2_25052026_07062026.pdf,27.05.26,среда,14:00-15:30,Общая группа,Проектная деятельность (по профилю),Практическое занятие,Москвин А.С.,14-133
24875_2_25052026_07062026.pdf,28.05.26,четверг,11:45-13:15,Общая группа,Психология управления,Лекция,Бушкова-Шиклина Э.В.,14-218
24875_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,Общая группа,Психология управления,Практическое занятие,Бушкова-Шиклина Э.В.,14-218
24875_2_25052026_07062026.pdf,29.05.26,пятница,14:00-15:30,Общая группа,Теоретическая социология,Лекция,Кушова И.А.,14-210
24875_2_25052026_07062026.pdf,29.05.26,пятница,15:45-17:15,Общая группа,Теоретическая социология,Практическое занятие,Кушова И.А.,14-210
24875_2_25052026_07062026.pdf,01.06.26,понедельник,08:20-09:50,Общая группа,Визуальная социология,Лекция,Бушкова-Шиклина Э.В.,14-133
24875_2_25052026_07062026.pdf,01.06.26,понедельник,10:00-11:30,Общая группа,Визуальная социология,Практическое занятие,Бушкова-Шиклина Э.В.,14-133
24875_2_25052026_07062026.pdf,01.06.26,понедельник,11:45-13:15,01 подгруппа,Атлетическая гимнастика,Практическое занятие,Авдеева М.С.,13-001
24875_2_25052026_07062026.pdf,01.06.26,понедельник,11:45-13:15,02 подгруппа,Адаптивная физическая культура,Практическое занятие,Крестьянинова О.В.,14-147
24875_2_25052026_07062026.pdf,01.06.26,понедельник,11:45-13:15,Общая группа,физическая культура,Практическое занятие,Крестьянинова О.В.,14-147
24875_2_25052026_07062026.pdf,01.06.26,понедельник,11:45-13:15,02 подгруппа,Волейбол,Практическое занятие,Мешенина Н.В.,14-108
24875_2_25052026_07062026.pdf,01.06.26,понедельник,11:45-13:15,02 подгруппа,Фитнес-аэробика,Практическое занятие,Рябова Ю.С.,14-115
24875_2_25052026_07062026.pdf,02.06.26,вторник,11:45-13:15,Общая группа,Проектная деятельность (по профилю),Лекция,Москвин А.С.,14-140
24875_2_25052026_07062026.pdf,02.06.26,вторник,14:00-15:30,Общая группа,Проектная деятельность (по профилю),Практическое занятие,Москвин А.С.,14-140
24875_2_25052026_07062026.pdf,02.06.26,вторник,15:45-17:15,Общая группа,Фокус-группы в социологических исследованиях Бушкова,Практическое занятие,Шиклина Э.В.,14-133
24875_2_25052026_07062026.pdf,03.06.26,среда,10:00-11:30,Общая группа,Теоретическая социология,Лекция,Кушова И.А.,21-264
24875_2_25052026_07062026.pdf,03.06.26,среда,11:45-13:15,Общая группа,Теоретическая социология,Практическое занятие,Кушова И.А.,21-264
24875_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,Общая группа,Психология управления,Лекция,Бушкова-Шиклина Э.В.,14-218
24875_2_25052026_07062026.pdf,04.06.26,четверг,15:45-17:15,Общая группа,Психология управления,Практическое занятие,Бушкова-Шиклина Э.В.,14-218
24875_2_25052026_07062026.pdf,05.06.26,пятница,11:45-13:15,Общая группа,Социология гендера,Практическое занятие,Голенок М.П.,14-211
