Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25991_2_25052026_07062026.pdf,25.05.26,понедельник,10:00-11:30,01 подгруппа,Физика,Лабораторная работа,Хлебов А.Г.,14-330
25991_2_25052026_07062026.pdf,25.05.26,понедельник,10:00-11:30,02 подгруппа,Физика,Лабораторная работа,Хлебов А.Г.,14-330
25991_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,01 подгруппа,Физика,Лабораторная работа,Хлебов А.Г.,14-330
25991_2_25052026_07062026.pdf,25.05.26,понедельник,11:45-13:15,02 подгруппа,Физика,Лабораторная работа,Хлебов А.Г.,14-330
25991_2_25052026_07062026.pdf,25.05.26,понедельник,14:00-15:30,Общая группа,Математика,Практическое занятие,Марков Р.В.,2-303
25991_2_25052026_07062026.pdf,26.05.26,вторник,08:20-09:50,Общая группа,Математика,Лекция,Левин М.Н.,2-209
25991_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,Общая группа,История России,Лекция,Садаков Д.А.,2-209
25991_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Физика,Практическое занятие,Хлебов А.Г.,2-303
25991_2_25052026_07062026.pdf,27.05.26,среда,10:00-11:30,Общая группа,Иностранный язык,Практическое занятие,Дубовцева Л.В.,2-102
25991_2_25052026_07062026.pdf,27.05.26,среда,11:45-13:15,Общая группа,Иностранный язык,Практическое занятие,Дубовцева Л.В.,2-102
25991_2_25052026_07062026.pdf,27.05.26,среда,14:00-15:30,Общая группа,Физика,Лекция,Хлебов А.Г.,2-209
25991_2_25052026_07062026.pdf,28.05.26,четверг,10:00-11:30,Общая группа,Электротехника и электроника,Лекция,Вахрушев В.Ю.,2-403
25991_2_25052026_07062026.pdf,28.05.26,четверг,11:45-13:15,Общая группа,Электротехника и электроника,Практическое занятие,Вахрушев В.Ю.,2-203
25991_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Попова Н.Ю.,9-101
25991_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Ромашов А.Ю.,9-115
25991_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Практическое занятие,Пластинина В.Б.,9-208
25991_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Трушкова Е.Л.,9-209
25991_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Практическое занятие,Салопин О.М.,9-102
25991_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Хвостенко С.Ю.,9-101
25991_2_25052026_07062026.pdf,29.05.26,пятница,08:20-09:50,Общая группа,Техническая и конструкторская графика,Практическое занятие,Поздин В.Н.,2-309
25991_2_25052026_07062026.pdf,29.05.26,пятница,10:00-11:30,Общая группа,Технологии программирования,Лекция,Кашина Е.В.,2-403
25991_2_25052026_07062026.pdf,29.05.26,пятница,11:45-13:15,01 подгруппа,Технологии программирования,Лабораторная работа,Кашина Е.В.,2-201
25991_2_25052026_07062026.pdf,29.05.26,пятница,11:45-13:15,02 подгруппа,Технологии программирования,Лабораторная работа,Кашина Е.В.,2-201
25991_2_25052026_07062026.pdf,29.05.26,пятница,14:00-15:30,01 подгруппа,Технологии программирования,Лабораторная работа,Кашина Е.В.,2-201
25991_2_25052026_07062026.pdf,29.05.26,пятница,14:00-15:30,02 подгруппа,Технологии программирования,Лабораторная работа,Кашина Е.В.,2-201
25991_2_25052026_07062026.pdf,01.06.26,понедельник,10:00-11:30,Общая группа,Физика,Лекция,Хлебов А.Г.,2-209
25991_2_25052026_07062026.pdf,01.06.26,понедельник,11:45-13:15,Общая группа,Электротехника и электроника,Лекция,Вахрушев В.Ю.,2-403
25991_2_25052026_07062026.pdf,01.06.26,понедельник,14:00-15:30,Общая группа,Информационные технологии в управляющих системах,Практическое занятие,Сандаков С.Ю.,2-201
25991_2_25052026_07062026.pdf,01.06.26,понедельник,15:45-17:15,Общая группа,Информационные технологии в управляющих системах,Практическое занятие,Сандаков С.Ю.,2-201
25991_2_25052026_07062026.pdf,02.06.26,вторник,11:45-13:15,Общая группа,Математика,Практическое занятие,Марков Р.В.,2-404
25991_2_25052026_07062026.pdf,02.06.26,вторник,14:00-15:30,Общая группа,Математика,Практическое занятие,Марков Р.В.,2-404
25991_2_25052026_07062026.pdf,02.06.26,вторник,15:45-17:15,Общая группа,Иностранный язык,Практическое занятие,Дубовцева Л.В.,2-102
25991_2_25052026_07062026.pdf,03.06.26,среда,14:00-15:30,Общая группа,Час с куратором,Не указан,Родионов К.В.,2-308
25991_2_25052026_07062026.pdf,04.06.26,четверг,10:00-11:30,02 подгруппа,Электротехника и электроника,Лабораторная работа,Вахрушев В.Ю.,2-301
25991_2_25052026_07062026.pdf,04.06.26,четверг,11:45-13:15,02 подгруппа,Электротехника и электроника,Лабораторная работа,Вахрушев В.Ю.,2-301
25991_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Попова Н.Ю.,9-101
25991_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Ромашов А.Ю.,9-115
25991_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Практическое занятие,Пластинина В.Б.,9-208
25991_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Трушкова Е.Л.,9-209
25991_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 485),Практическое занятие,Салопин О.М.,9-102
25991_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Хвостенко С.Ю.,9-101
25991_2_25052026_07062026.pdf,05.06.26,пятница,10:00-11:30,Общая группа,Математика,Лекция,Левин М.Н.,1-534
25991_2_25052026_07062026.pdf,05.06.26,пятница,11:45-13:15,Общая группа,История России,Лекция,Садаков Д.А.,2-409
