Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ЛДб-3501-01-00_1.pdf,02.06.26,вторник,11:45-13:15,Общая группа,Философия Зачет,Не указан,Коротышева Н.Н.,1-404
сессия_ЛДб-3501-01-00_1.pdf,02.06.26,вторник,14:00-15:30,Общая группа,Философия Зачет,Не указан,Коротышева Н.Н.,1-404
сессия_ЛДб-3501-01-00_1.pdf,03.06.26,среда,08:20-09:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 559) Защита курсовых проектов,Не указан,Березин Г.И.,15-267
сессия_ЛДб-3501-01-00_1.pdf,03.06.26,среда,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 559) Защита курсовых проектов,Не указан,Березин Г.И.,15-267
сессия_ЛДб-3501-01-00_1.pdf,04.06.26,четверг,08:20-09:50,Общая группа,Лесная энтомология Зачет,Не указан,Пестов С.В.,15-264
сессия_ЛДб-3501-01-00_1.pdf,04.06.26,четверг,10:00-11:30,Общая группа,Лесная энтомология Зачет,Не указан,Пестов С.В.,15-264
сессия_ЛДб-3501-01-00_1.pdf,05.06.26,пятница,08:20-09:50,Общая группа,Проектная деятельность в области лесного дела Зачет,Не указан,Березин Г.И.,15-267
сессия_ЛДб-3501-01-00_1.pdf,05.06.26,пятница,10:00-11:30,Общая группа,Проектная деятельность в области лесного дела Зачет,Не указан,Березин Г.И.,15-267
сессия_ЛДб-3501-01-00_1.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 284) Зачет,Не указан,Соймонов И.А.,9-209
сессия_ЛДб-3501-01-00_1.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Волейбол Зачет,Не указан,Трушкова Е.Л.,9-102
сессия_ЛДб-3501-01-00_1.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 039) Зачет,Не указан,Загребина Л.А.,14-115
сессия_ЛДб-3501-01-00_1.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 126) Зачет,Не указан,Трушкова Е.Л.,9-102
сессия_ЛДб-3501-01-00_1.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 128) Зачет,Не указан,Подковырин В.Д.,19-301
сессия_ЛДб-3501-01-00_1.pdf,25.08.20,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (21 285) Зачет,Не указан,Попова Н.Ю.,9-101
сессия_ЛДб-3501-01-00_1.pdf,09.06.26,вторник,14:00-15:30,Общая группа,Лесная фитопатология Консультация,Не указан,Пестов С.В.,15-264
сессия_ЛДб-3501-01-00_1.pdf,10.06.26,среда,10:00-11:30,Общая группа,Лесная фитопатология Экзамен,Не указан,Пестов С.В.,15-267
сессия_ЛДб-3501-01-00_1.pdf,10.06.26,среда,11:45-13:15,Общая группа,Лесная фитопатология Экзамен,Не указан,Пестов С.В.,15-267
сессия_ЛДб-3501-01-00_1.pdf,11.06.26,четверг,10:00-11:30,Общая группа,Дендрология Консультация,Не указан,Рябов В.М.,15-263
сессия_ЛДб-3501-01-00_1.pdf,11.06.26,четверг,10:00-11:30,Общая группа,Дендрология Экзамен,Не указан,Рябов В.М.,15-263
сессия_ЛДб-3501-01-00_1.pdf,11.06.26,четверг,11:45-13:15,Общая группа,Дендрология Экзамен,Не указан,Рябов В.М.,15-263
сессия_ЛДб-3501-01-00_1.pdf,17.06.26,среда,08:20-09:50,Общая группа,История России Консультация,Не указан,Чучкалов А.В.,15-304
сессия_ЛДб-3501-01-00_1.pdf,18.06.26,четверг,10:00-11:30,Общая группа,История России Экзамен,Не указан,Чучкалов А.В.,15-304
сессия_ЛДб-3501-01-00_1.pdf,18.06.26,четверг,11:45-13:15,Общая группа,История России Экзамен,Не указан,Чучкалов А.В.,15-304
