Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_ПИб-4301-01-00.pdf,09.01.26,пятница,10:00-11:30,Общая группа,Корпоративные информационные системы Зачет,Не указан,Прозорова Ю.А.,1-237
сессия_ПИб-4301-01-00.pdf,09.01.26,пятница,11:45-13:15,Общая группа,Корпоративные информационные системы Зачет,Не указан,Прозорова Ю.А.,1-237
сессия_ПИб-4301-01-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Теория принятия решений Зачет,Не указан,Крутиков А.К.,1-237
сессия_ПИб-4301-01-00.pdf,09.01.26,пятница,15:45-17:15,Общая группа,Теория принятия решений Зачет,Не указан,Крутиков А.К.,1-237
сессия_ПИб-4301-01-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Сети ЭВМ и средства телекоммуникации Консультация,Не указан,Клюкин В.Л.,2-307
сессия_ПИб-4301-01-00.pdf,13.01.26,вторник,10:00-11:30,Общая группа,Сети ЭВМ и средства телекоммуникации Экзамен,Не указан,Клюкин В.Л.,2-307
сессия_ПИб-4301-01-00.pdf,13.01.26,вторник,11:45-13:15,Общая группа,Сети ЭВМ и средства телекоммуникации Экзамен,Не указан,Клюкин В.Л.,2-307
сессия_ПИб-4301-01-00.pdf,16.01.26,пятница,10:00-11:30,Общая группа,Программная инженерия Консультация,Не указан,Тарасов В.Л.,2-306
сессия_ПИб-4301-01-00.pdf,17.01.26,суббота,10:00-11:30,Общая группа,Программная инженерия Экзамен,Не указан,Тарасов В.Л.,2-308
сессия_ПИб-4301-01-00.pdf,17.01.26,суббота,11:45-13:15,Общая группа,Программная инженерия Экзамен,Не указан,Тарасов В.Л.,2-308
сессия_ПИб-4301-01-00.pdf,25.08.20,вторник,10:00-11:30,Общая группа,Архитектура ЭВМ и систем Консультация,Не указан,Страбыкин Д.А.,1-117а
сессия_ПИб-4301-01-00.pdf,20.01.26,вторник,10:00-11:30,Общая группа,Архитектура ЭВМ и систем Экзамен,Не указан,Страбыкин Д.А.,1-117а
сессия_ПИб-4301-01-00.pdf,20.01.26,вторник,11:45-13:15,Общая группа,Архитектура ЭВМ и систем Экзамен,Не указан,Страбыкин Д.А.,1-117а
сессия_ПИб-4301-01-00.pdf,23.01.26,пятница,14:00-15:30,Общая группа,Комплекс знаний бакалавра Защита курсовых проектов,Не указан,Караваева О.В.,1-239
сессия_ПИб-4301-01-00.pdf,24.01.26,суббота,14:00-15:30,Общая группа,Комплекс знаний бакалавра Зачет,Не указан,Крутиков А.К.,1-239
сессия_ПИб-4301-01-00.pdf,24.01.26,суббота,15:45-17:15,Общая группа,Комплекс знаний бакалавра Зачет,Не указан,Крутиков А.К.,1-239
