Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25463_2_25052026_07062026.pdf,26.05.26,вторник,17:20-18:50,Общая группа,Дискретная математика,Лекция,Марков Р.В.,16-404
25463_2_25052026_07062026.pdf,26.05.26,вторник,18:55-20:25,Общая группа,Дискретная математика,Практическое занятие,Марков Р.В.,16-404
25463_2_25052026_07062026.pdf,26.05.26,вторник,08:20-09:50,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,26.05.26,вторник,14:00-15:30,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,26.05.26,вторник,15:45-17:15,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,27.05.26,среда,17:20-18:50,Общая группа,Методика преподавания математики в вузе,Лекция,Калинин С.И.,6-202
25463_2_25052026_07062026.pdf,27.05.26,среда,18:55-20:25,Общая группа,Методика преподавания математики в вузе,Практическое занятие,Калинин С.И.,6-202
25463_2_25052026_07062026.pdf,28.05.26,четверг,17:20-18:50,Общая группа,Дискретная математика,Практическое занятие,Марков Р.В.,16-404
25463_2_25052026_07062026.pdf,28.05.26,четверг,18:55-20:25,Общая группа,Дискретная математика,Практическое занятие,Марков Р.В.,16-404
25463_2_25052026_07062026.pdf,29.05.26,пятница,17:20-18:50,Общая группа,История и методология математики,Лекция,Варанкина В.И.,14-334
25463_2_25052026_07062026.pdf,29.05.26,пятница,18:55-20:25,Общая группа,История и методология математики,Практическое занятие,Варанкина В.И.,14-334
25463_2_25052026_07062026.pdf,30.05.26,суббота,08:20-09:50,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,30.05.26,суббота,10:00-11:30,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,30.05.26,суббота,11:45-13:15,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,30.05.26,суббота,14:00-15:30,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,30.05.26,суббота,15:45-17:15,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,01.06.26,понедельник,17:20-18:50,Общая группа,Дискретная математика,Лекция,Марков Р.В.,16-404
25463_2_25052026_07062026.pdf,01.06.26,понедельник,18:55-20:25,Общая группа,Дискретная математика,Практическое занятие,Марков Р.В.,16-404
25463_2_25052026_07062026.pdf,02.06.26,вторник,08:20-09:50,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
25463_2_25052026_07062026.pdf,02.06.26,вторник,10:00-11:30,Общая группа,"Учебная практика №1, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,2-205а
