Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25882_2_25052026_07062026.pdf,26.05.26,вторник,08:20-09:50,03 подгруппа,Технологии цифрового образования,Практическое занятие,Исупова Н.И.,16-302
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,03 подгруппа,Иностранный язык,Практическое занятие,Бубнова Ю.В.,16-112
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,04 подгруппа,Иностранный язык,Практическое занятие,Шалагинова Е.А.,16-119а
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,05 подгруппа,Иностранный язык,Практическое занятие,Деньгина М.Р.,16-121
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,06 подгруппа,Иностранный язык,Практическое занятие,Тютюнник С.И.,14-222
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,07 подгруппа,Иностранный язык,Практическое занятие,Четвериков Б.А.,16-216
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,08 подгруппа,Иностранный язык,Практическое занятие,Рублёва О.С.,16-217
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,09 подгруппа,Иностранный язык,Практическое занятие,Щекочихина Е.В.,16-220
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,10 подгруппа,Иностранный язык,Практическое занятие,Кибишев А.Н.,16-318
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,11 подгруппа,Иностранный язык,Практическое занятие,Суслопарова М.М.,16-407
25882_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,12 подгруппа,Иностранный язык,Практическое занятие,Тютюнник И.А.,14-312
25882_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Административная ответственность в деятельности школы и учителя,Лекция,Токарева П.В.,16-212
25882_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,"Деловая репутация, честь и достоинство учителя",Лекция,Колесова Ю.А.,14-104
25882_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Налоги и налоговая система,Лекция,Гоголева О.Л.,16-407
25882_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Нормативно-правовое регулирование деятельности школы,Лекция,Бармина Е.А.,14-113
25882_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Оплата труда учителя,Лекция,Давыдова Ю.В.,16-121
25882_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Правовой статус учителя и ученика. Защита трудовых и социальных прав учителя,Лекция,Макарова Т.В.,14-110
25882_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,"Семья, материнство, отцовство, детство",Лекция,Ситникова Е.Л.,14-211
