Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25654_2_25052026_07062026.pdf,26.05.26,вторник,14:00-15:30,Общая группа,История России,Лекция,Костина Е.Г.,14-319
25654_2_25052026_07062026.pdf,26.05.26,вторник,15:45-17:15,Общая группа,История России,Лекция,Костина Е.Г.,14-319
25654_2_25052026_07062026.pdf,26.05.26,вторник,10:00-11:30,Общая группа,Современные информационные технологии,Лекция,Зонова В.А.,16-121
25654_2_25052026_07062026.pdf,26.05.26,вторник,11:45-13:15,Общая группа,Основы экономико-математического моделирования,Лекция,Чупракова О.Н.,14-338
25654_2_25052026_07062026.pdf,26.05.26,вторник,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Мишутинская Е.А.,14-104
25654_2_25052026_07062026.pdf,26.05.26,вторник,15:45-17:15,Общая группа,Иностранный язык,Практическое занятие,Мишутинская Е.А.,14-104
25654_2_25052026_07062026.pdf,27.05.26,среда,10:00-11:30,Общая группа,Основы экономико-математического моделирования,Практическое занятие,Чупракова О.Н.,14-201
25654_2_25052026_07062026.pdf,27.05.26,среда,11:45-13:15,Общая группа,Экономическая теория,Лекция,Ральникова Е.Л.,14-338
25654_2_25052026_07062026.pdf,27.05.26,среда,14:00-15:30,Общая группа,Экономическая теория,Практическое занятие,Ральникова Е.Л.,16-313
25654_2_25052026_07062026.pdf,28.05.26,четверг,10:00-11:30,Общая группа,Основы российского законодательства,Практическое занятие,Сергеев А.В.,14-110
25654_2_25052026_07062026.pdf,28.05.26,четверг,11:45-13:15,Общая группа,Основы российского законодательства,Практическое занятие,Сергеев А.В.,14-110
25654_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
25654_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
25654_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,Общая группа,(модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
25654_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Шапков Ю.В.,14-108
25654_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131),Практическое занятие,Хлюпина Е.Г.,14-147
25654_2_25052026_07062026.pdf,28.05.26,четверг,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
25654_2_25052026_07062026.pdf,29.05.26,пятница,17:20-18:50,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Личутина М.Г.,14-113
25654_2_25052026_07062026.pdf,29.05.26,пятница,18:55-20:25,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Личутина М.Г.,14-113
25654_2_25052026_07062026.pdf,30.05.26,суббота,10:00-11:30,Общая группа,Современные информационные технологии,Практическое занятие,Борисова М.В.,16-201
25654_2_25052026_07062026.pdf,30.05.26,суббота,11:45-13:15,Общая группа,Современные информационные технологии,Практическое занятие,Борисова М.В.,16-201
25654_2_25052026_07062026.pdf,01.06.26,понедельник,14:00-15:30,Общая группа,Современные информационные технологии,Практическое занятие,Борисова М.В.,16-210
25654_2_25052026_07062026.pdf,01.06.26,понедельник,15:45-17:15,Общая группа,Современные информационные технологии,Практическое занятие,Борисова М.В.,16-210
25654_2_25052026_07062026.pdf,02.06.26,вторник,10:00-11:30,Общая группа,История России,Практическое занятие,Немчанинова Е.Н.,14-209
25654_2_25052026_07062026.pdf,02.06.26,вторник,11:45-13:15,Общая группа,Основы экономико-математического моделирования,Лекция,Чупракова О.Н.,14-338
25654_2_25052026_07062026.pdf,02.06.26,вторник,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Мишутинская Е.А.,14-122
25654_2_25052026_07062026.pdf,03.06.26,среда,14:00-15:30,Общая группа,Час с куратором,Не указан,Шпенглер А.В.,14-334
25654_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
25654_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
25654_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,Общая группа,(модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
25654_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Шапков Ю.В.,14-108
25654_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту Зачет (11 131),Практическое занятие,Хлюпина Е.Г.,14-147
25654_2_25052026_07062026.pdf,04.06.26,четверг,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Плюснина Ю.А.,14-115
25654_2_25052026_07062026.pdf,05.06.26,пятница,11:45-13:15,Общая группа,Основы экономико-математического моделирования,Практическое занятие,Чупракова О.Н.,14-110
25654_2_25052026_07062026.pdf,05.06.26,пятница,14:00-15:30,Общая группа,История России,Практическое занятие,Немчанинова Е.Н.,14-308
