Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24719_2_27042026_10052026.pdf,27.04.26,понедельник,08:20-09:50,Общая группа,Исследование социально-экономических процессов,Лекция,Ситникова Е.Л.,14-104
24719_2_27042026_10052026.pdf,27.04.26,понедельник,10:00-11:30,Общая группа,Исследование социально-экономических процессов,Практическое занятие,Ситникова Е.Л.,14-131
24719_2_27042026_10052026.pdf,28.04.26,вторник,08:20-09:50,Общая группа,Управление государственной и муниципальной собственностью,Лекция,Ситникова Е.Л.,14-113
24719_2_27042026_10052026.pdf,28.04.26,вторник,10:00-11:30,Общая группа,Управление государственной и муниципальной собственностью,Практическое занятие,Ситникова Е.Л.,14-131
24719_2_27042026_10052026.pdf,29.04.26,среда,10:00-11:30,Общая группа,Управление государственными и муниципальными закупками,Лекция,Жданова О.С.,14-113
24719_2_27042026_10052026.pdf,29.04.26,среда,11:45-13:15,Общая группа,Управление государственными и муниципальными закупками,Практическое занятие,Жданова О.С.,14-111
24719_2_27042026_10052026.pdf,30.04.26,четверг,14:00-15:30,Общая группа,Бюджетная политика региона,Лекция,Казанцев В.В.,16-121
24719_2_27042026_10052026.pdf,30.04.26,четверг,15:45-17:15,Общая группа,Бюджетная политика региона,Практическое занятие,Казанцев В.В.,16-121
24719_2_27042026_10052026.pdf,30.04.26,четверг,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
24719_2_27042026_10052026.pdf,30.04.26,четверг,17:20-18:50,Общая группа,(модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,14-106
24719_2_27042026_10052026.pdf,30.04.26,четверг,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Боков А.В.,13-001
24719_2_27042026_10052026.pdf,30.04.26,четверг,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Шапков Ю.В.,14-108
24719_2_27042026_10052026.pdf,30.04.26,четверг,17:20-18:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Хлюпина Е.Г.,14-147
