Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25351_2_27042026_10052026.pdf,27.04.26,понедельник,08:20-09:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Салопин О.М.,9-208
25351_2_27042026_10052026.pdf,27.04.26,понедельник,08:20-09:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлусьянов О.В.,9-116
25351_2_27042026_10052026.pdf,27.04.26,понедельник,08:20-09:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Трушкова Е.Л.,9-301
25351_2_27042026_10052026.pdf,27.04.26,понедельник,08:20-09:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Пластинина В.Б.,9-102
25351_2_27042026_10052026.pdf,28.04.26,вторник,10:00-11:30,Общая группа,Математика,Лекция,Зеленина Н.А.,1-530
25351_2_27042026_10052026.pdf,28.04.26,вторник,11:45-13:15,Общая группа,Математика,Практическое занятие,Зеленина Н.А.,1-530
25351_2_27042026_10052026.pdf,28.04.26,вторник,14:00-15:30,Общая группа,Экология,Лекция,Дегтерев Б.И.,1-514
25351_2_27042026_10052026.pdf,28.04.26,вторник,15:45-17:15,Общая группа,Экология,Практическое занятие,Дегтерев Б.И.,1-514
25351_2_27042026_10052026.pdf,29.04.26,среда,08:20-09:50,Общая группа,Иностранный язык,Практическое занятие,Злобина И.С.,6-311
25351_2_27042026_10052026.pdf,29.04.26,среда,10:00-11:30,Общая группа,Иностранный язык,Практическое занятие,Злобина И.С.,6-311
25351_2_27042026_10052026.pdf,29.04.26,среда,11:45-13:15,Общая группа,Математика,Практическое занятие,Зеленина Н.А.,6-310
25351_2_27042026_10052026.pdf,30.04.26,четверг,08:20-09:50,Общая группа,Инженерная графика,Практическое занятие,Буравлева Е.Г.,1-601
25351_2_27042026_10052026.pdf,30.04.26,четверг,10:00-11:30,Общая группа,Инженерная химия,Лекция,Чернова О.В.,1-534
25351_2_27042026_10052026.pdf,30.04.26,четверг,11:45-13:15,Общая группа,Инженерная графика,Лекция,Буравлева Е.Г.,1-601
25351_2_27042026_10052026.pdf,30.04.26,четверг,14:00-15:30,Общая группа,Инженерная графика,Лабораторная работа,Зонов А.В.,1-602
25351_2_27042026_10052026.pdf,04.05.26,понедельник,08:20-09:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Салопин О.М.,9-208
25351_2_27042026_10052026.pdf,04.05.26,понедельник,08:20-09:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Хлусьянов О.В.,9-116
25351_2_27042026_10052026.pdf,04.05.26,понедельник,08:20-09:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Трушкова Е.Л.,9-301
25351_2_27042026_10052026.pdf,04.05.26,понедельник,08:20-09:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Пластинина В.Б.,9-102
25351_2_27042026_10052026.pdf,04.05.26,понедельник,11:45-13:15,Общая группа,Экология,Практическое занятие,Дегтерев Б.И.,1-516
25351_2_27042026_10052026.pdf,05.05.26,вторник,10:00-11:30,Общая группа,Математика,Лекция,Зеленина Н.А.,1-404
25351_2_27042026_10052026.pdf,05.05.26,вторник,11:45-13:15,Общая группа,Математика,Практическое занятие,Зеленина Н.А.,1-404
25351_2_27042026_10052026.pdf,06.05.26,среда,10:00-11:30,Общая группа,Проектная деятельность,Практическое занятие,Дегтерев Б.И.,1-401
25351_2_27042026_10052026.pdf,06.05.26,среда,11:45-13:15,Общая группа,Проектная деятельность,Практическое занятие,Дегтерев Б.И.,1-401
25351_2_27042026_10052026.pdf,06.05.26,среда,14:00-15:30,Общая группа,Час с куратором,Не указан,Соловьева И.А.,1-530
25351_2_27042026_10052026.pdf,07.05.26,четверг,10:00-11:30,01 подгруппа,Проектная деятельность,Лабораторная работа,Дегтерев Б.И.,1-533
25351_2_27042026_10052026.pdf,07.05.26,четверг,11:45-13:15,01 подгруппа,Проектная деятельность,Лабораторная работа,Дегтерев Б.И.,1-533
25351_2_27042026_10052026.pdf,07.05.26,четверг,14:00-15:30,02 подгруппа,Проектная деятельность,Лабораторная работа,Дегтерев Б.И.,1-533
25351_2_27042026_10052026.pdf,07.05.26,четверг,15:45-17:15,02 подгруппа,Проектная деятельность,Лабораторная работа,Дегтерев Б.И.,1-533
25351_2_27042026_10052026.pdf,08.05.26,пятница,10:00-11:30,01 подгруппа,Экология,Лабораторная работа,Дегтерев Б.И.,1-533
25351_2_27042026_10052026.pdf,08.05.26,пятница,10:00-11:30,02 подгруппа,Экология,Лабораторная работа,Дегтерев Б.И.,1-533
25351_2_27042026_10052026.pdf,08.05.26,пятница,11:45-13:15,01 подгруппа,Экология,Лабораторная работа,Дегтерев Б.И.,1-533
25351_2_27042026_10052026.pdf,08.05.26,пятница,11:45-13:15,02 подгруппа,Экология,Лабораторная работа,Дегтерев Б.И.,1-533
