Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25322_2_27042026_10052026.pdf,27.04.26,понедельник,17:20-18:50,Общая группа,Материалы и технологии твердооксидных электрохимических устройств,Лабораторная работа,Кузьмин А.В.,1-512
25322_2_27042026_10052026.pdf,27.04.26,понедельник,18:55-20:25,Общая группа,Материалы и технологии твердооксидных электрохимических устройств,Лабораторная работа,Кузьмин А.В.,1-512
25322_2_27042026_10052026.pdf,28.04.26,вторник,17:20-18:50,Общая группа,Современные электрохимические методы анализа,Лекция,Золотухина Е.В.,1-513
25322_2_27042026_10052026.pdf,28.04.26,вторник,18:55-20:25,Общая группа,Современные электрохимические методы анализа,Практическое занятие,Золотухина Е.В.,1-513
25322_2_27042026_10052026.pdf,29.04.26,среда,17:20-18:50,Общая группа,Материалы и технологии твердооксидных электрохимических устройств,Лекция,Кузьмин А.В.,1-513
25322_2_27042026_10052026.pdf,29.04.26,среда,18:55-20:25,Общая группа,Материалы и технологии твердооксидных электрохимических устройств,Лабораторная работа,Кузьмин А.В.,1-512
25322_2_27042026_10052026.pdf,30.04.26,четверг,17:20-18:50,Общая группа,Материалы и технологии твердополимерных электрохимических устройств,Практическое занятие,Саетова Н.С.,1-513
25322_2_27042026_10052026.pdf,30.04.26,четверг,18:55-20:25,Общая группа,Материалы и технологии твердополимерных электрохимических устройств,Лабораторная работа,Саетова Н.С.,1-512
25322_2_27042026_10052026.pdf,05.05.26,вторник,17:20-18:50,Общая группа,Современные электрохимические методы анализа,Лекция,Золотухина Е.В.,1-513
25322_2_27042026_10052026.pdf,05.05.26,вторник,18:55-20:25,Общая группа,Современные электрохимические методы анализа,Практическое занятие,Золотухина Е.В.,1-513
25322_2_27042026_10052026.pdf,07.05.26,четверг,17:20-18:50,Общая группа,Материалы и технологии твердополимерных электрохимических устройств,Лабораторная работа,Саетова Н.С.,1-512
25322_2_27042026_10052026.pdf,07.05.26,четверг,18:55-20:25,Общая группа,Материалы и технологии твердополимерных электрохимических устройств,Лабораторная работа,Саетова Н.С.,1-512
25322_2_27042026_10052026.pdf,08.05.26,пятница,17:20-18:50,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Суслопарова М.М.,15-337
