Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25956_2_27042026_10052026.pdf,29.04.26,понедельник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Тютюнник И.А.,14-222
25956_2_27042026_10052026.pdf,29.04.26,понедельник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Тютюнник И.А.,14-222
25956_2_27042026_10052026.pdf,29.04.26,среда,17:20-18:50,Общая группа,Интерактивные образовательные технологии,Лекция,Лучинина А.О.,15-125
25956_2_27042026_10052026.pdf,29.04.26,среда,18:55-20:25,Общая группа,Интерактивные образовательные технологии,Практическое занятие,Лучинина А.О.,15-125
25956_2_27042026_10052026.pdf,02.05.26,суббота,11:45-13:15,Общая группа,Проектирование дополнительных образовательных программ развития одаренности,Лекция,Андреева М.В.,15-125
25956_2_27042026_10052026.pdf,02.05.26,суббота,14:00-15:30,Общая группа,Проектирование дополнительных образовательных программ развития одаренности,Практическое занятие,Андреева М.В.,15-125
25956_2_27042026_10052026.pdf,02.05.26,понедельник,17:20-18:50,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Тютюнник И.А.,14-222
25956_2_27042026_10052026.pdf,02.05.26,понедельник,18:55-20:25,Общая группа,Иностранный язык в профессиональной деятельности,Практическое занятие,Тютюнник И.А.,14-222
25956_2_27042026_10052026.pdf,07.05.26,четверг,17:20-18:50,Общая группа,Педагогика и психология творчества,Лекция,Александрова Н.С.,15-125
25956_2_27042026_10052026.pdf,07.05.26,четверг,18:55-20:25,Общая группа,Педагогика и психология творчества,Практическое занятие,Александрова Н.С.,15-125
25956_2_27042026_10052026.pdf,08.05.26,пятница,17:20-18:50,Общая группа,Интерактивные образовательные технологии,Лекция,Лучинина А.О.,15-125
25956_2_27042026_10052026.pdf,08.05.26,пятница,18:55-20:25,Общая группа,Интерактивные образовательные технологии,Практическое занятие,Лучинина А.О.,15-125
