Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
сессия_КИб-4801-51-00.pdf,29.12.25,понедельник,15:45-17:15,Общая группа,Конструктивное моделирование одежды Зачет,Не указан,Клабукова Е.Л.,17-356
сессия_КИб-4801-51-00.pdf,29.12.25,понедельник,17:20-18:50,Общая группа,Художественная обработка материалов в производстве швейных изделий Зачет,Не указан,Крысова В.А.,17-268
сессия_КИб-4801-51-00.pdf,09.01.26,пятница,08:20-09:50,Общая группа,Безопасность жизнедеятельности Консультация,Не указан,Зонов А.В.,1-515
сессия_КИб-4801-51-00.pdf,09.01.26,пятница,14:00-15:30,Общая группа,Безопасность жизнедеятельности Экзамен,Не указан,Зонов А.В.,1-515
сессия_КИб-4801-51-00.pdf,14.01.26,среда,15:45-17:15,Общая группа,Композиция костюма Консультация,Не указан,Ренжина Е.А.,17-267
сессия_КИб-4801-51-00.pdf,15.01.26,четверг,15:45-17:15,Общая группа,Композиция костюма Экзамен,Не указан,Ренжина Е.А.,17-267
сессия_КИб-4801-51-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,Основы бизнеса в индустрии моды Консультация,Не указан,Клабукова Е.Л.,17-356
сессия_КИб-4801-51-00.pdf,16.01.26,пятница,08:20-09:50,Общая группа,к и н6 ь2 л 1. е д е 9. 0 н1 о п Основы бизнеса в индустрии моды Экзамен,Не указан,Клабукова Е.Л.,17-356
сессия_КИб-4801-51-00.pdf,22.01.26,четверг,08:20-09:50,Общая группа,Проектирование изделий легкой промышленности в системе автоматизированного проектирования Защита курсовых проектов,Не указан,Клабукова Е.Л.,17-457
сессия_КИб-4801-51-00.pdf,22.01.26,четверг,10:00-11:30,Общая группа,Проектирование изделий легкой промышленности в системе автоматизированного проектирования Консультация,Не указан,Клабукова Е.Л.,17-457
сессия_КИб-4801-51-00.pdf,23.01.26,пятница,10:00-11:30,Общая группа,Проектирование изделий легкой промышленности в системе автоматизированного проектирования Экзамен,Не указан,Клабукова Е.Л.,17-351
