Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25024_2_30032026_12042026.pdf,30.03.26,понедельник,10:00-11:30,Общая группа,Компьютерная графика,Практическое занятие,Бурдин Н.П.,17-351
25024_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,Общая группа,Компьютерная графика,Практическое занятие,Бурдин Н.П.,17-351
25024_2_30032026_12042026.pdf,30.03.26,понедельник,14:00-15:30,Общая группа,Основы производственного мастерства,Практическое занятие,Бурдин Н.П.,17-352
25024_2_30032026_12042026.pdf,30.03.26,понедельник,15:45-17:15,Общая группа,Основы производственного мастерства,Практическое занятие,Бурдин Н.П.,17-352
25024_2_30032026_12042026.pdf,30.03.26,понедельник,17:20-18:50,Общая группа,Основы производственного мастерства,Практическое занятие,Бурдин Н.П.,17-351
25024_2_30032026_12042026.pdf,31.03.26,вторник,10:00-11:30,Общая группа,Организация научных исследований в области дизайна,Лекция,Кривошеина Н.В.,4-705
25024_2_30032026_12042026.pdf,31.03.26,вторник,11:45-13:15,Общая группа,Организация научных исследований в области дизайна,Практическое занятие,Кривошеина Н.В.,4-705
25024_2_30032026_12042026.pdf,31.03.26,вторник,14:00-15:30,Общая группа,Разработка VR/AR приложений для мобильных устройств,Практическое занятие,Ануфриев Д.С.,6-403
25024_2_30032026_12042026.pdf,31.03.26,вторник,15:45-17:15,Общая группа,Разработка VR/AR приложений для мобильных устройств,Практическое занятие,Ануфриев Д.С.,6-403
25024_2_30032026_12042026.pdf,01.04.26,среда,10:00-11:30,Общая группа,Системный инжиниринг,Практическое занятие,Лисовский В.А.,10-214
25024_2_30032026_12042026.pdf,01.04.26,среда,11:45-13:15,Общая группа,Системный инжиниринг,Практическое занятие,Лисовский В.А.,10-214
25024_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,Общая группа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Макушев В.Ю.,6-403
25024_2_30032026_12042026.pdf,01.04.26,среда,15:45-17:15,Общая группа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Макушев В.Ю.,6-403
25024_2_30032026_12042026.pdf,02.04.26,четверг,10:00-11:30,Общая группа,Организация научных исследований в области дизайна,Практическое занятие,Кривошеина Н.В.,4-705
25024_2_30032026_12042026.pdf,02.04.26,четверг,11:45-13:15,Общая группа,Организация научных исследований в области дизайна,Практическое занятие,Кривошеина Н.В.,4-705
25024_2_30032026_12042026.pdf,02.04.26,четверг,14:00-15:30,Общая группа,Проектирование предметно-пространственной среды,Практическое занятие,Николаев А.Л.,17-351
25024_2_30032026_12042026.pdf,02.04.26,четверг,15:45-17:15,Общая группа,Проектирование предметно-пространственной среды,Практическое занятие,Николаев А.Л.,17-351
25024_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Практическое занятие,Соймонов И.А.,9-102
25024_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Ромашов А.Ю.,9-115
25024_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Трушкова Е.Л.,9-301
25024_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Ромашов А.Ю.,9-115
25024_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Попова Н.Ю.,9-101/1
25024_2_30032026_12042026.pdf,06.04.26,понедельник,10:00-11:30,Общая группа,Компьютерная графика,Практическое занятие,Бурдин Н.П.,17-351
25024_2_30032026_12042026.pdf,06.04.26,понедельник,11:45-13:15,Общая группа,Компьютерная графика,Практическое занятие,Бурдин Н.П.,17-351
25024_2_30032026_12042026.pdf,06.04.26,понедельник,14:00-15:30,Общая группа,Основы производственного мастерства,Практическое занятие,Бурдин Н.П.,17-352
25024_2_30032026_12042026.pdf,06.04.26,понедельник,15:45-17:15,Общая группа,Основы производственного мастерства,Практическое занятие,Бурдин Н.П.,17-352
25024_2_30032026_12042026.pdf,07.04.26,вторник,10:00-11:30,Общая группа,Разработка VR/AR приложений для мобильных устройств,Практическое занятие,Ануфриев Д.С.,6-403
25024_2_30032026_12042026.pdf,07.04.26,вторник,11:45-13:15,Общая группа,Разработка VR/AR приложений для мобильных устройств,Практическое занятие,Ануфриев Д.С.,6-403
25024_2_30032026_12042026.pdf,07.04.26,вторник,14:00-15:30,Общая группа,Организация научных исследований в области дизайна,Практическое занятие,Кривошеина Н.В.,4-705
25024_2_30032026_12042026.pdf,09.04.26,четверг,14:00-15:30,Общая группа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Макушев В.Ю.,6-403
25024_2_30032026_12042026.pdf,09.04.26,четверг,15:45-17:15,Общая группа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Макушев В.Ю.,6-403
25024_2_30032026_12042026.pdf,10.04.26,пятница,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 124),Практическое занятие,Соймонов И.А.,9-102
25024_2_30032026_12042026.pdf,10.04.26,пятница,11:45-13:15,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Ромашов А.Ю.,9-115
25024_2_30032026_12042026.pdf,10.04.26,пятница,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Трушкова Е.Л.,9-301
25024_2_30032026_12042026.pdf,10.04.26,пятница,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 126),Практическое занятие,Ромашов А.Ю.,9-115
25024_2_30032026_12042026.pdf,10.04.26,пятница,11:45-13:15,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285) .,Практическое занятие,Попова Н.Ю.,9-101
