Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
24575_2_30032026_12042026.pdf,30.03.26,понедельник,08:20-09:50,Общая группа,Нагревательные печи и устройства,Лекция,Плюснин Е.С.,1-311
24575_2_30032026_12042026.pdf,30.03.26,понедельник,10:00-11:30,Общая группа,Нагревательные печи и устройства,Практическое занятие,Плюснин Е.С.,1-311
24575_2_30032026_12042026.pdf,30.03.26,понедельник,11:45-13:15,Общая группа,Технология и оборудование термической обработки,Лекция,Плюснин Е.С.,1-311
24575_2_30032026_12042026.pdf,30.03.26,понедельник,14:00-15:30,Общая группа,Технология и оборудование термической обработки,Практическое занятие,Плюснин Е.С.,1-311
24575_2_30032026_12042026.pdf,31.03.26,вторник,08:20-09:50,Общая группа,Нагревательные печи и устройства,Лекция,Плюснин Е.С.,1-313
24575_2_30032026_12042026.pdf,31.03.26,вторник,10:00-11:30,Общая группа,Нагревательные печи и устройства,Практическое занятие,Плюснин Е.С.,1-313
24575_2_30032026_12042026.pdf,01.04.26,среда,14:00-15:30,Общая группа,Технология и оборудование термической обработки,Лекция,Плюснин Е.С.,1-313
24575_2_30032026_12042026.pdf,01.04.26,среда,15:45-17:15,Общая группа,Технология и оборудование термической обработки в рамках практической подготовки,Практическое занятие,Плюснин Е.С.,1-313
24575_2_30032026_12042026.pdf,02.04.26,четверг,14:00-15:30,Общая группа,Коррозия и защита металлов,Лекция,Лихачев В.А.,1-531
24575_2_30032026_12042026.pdf,02.04.26,четверг,15:45-17:15,Общая группа,Коррозия и защита металлов,Лабораторная работа,Лихачев В.А.,1-510
24575_2_30032026_12042026.pdf,02.04.26,четверг,17:20-18:50,Общая группа,Коррозия и защита металлов,Лабораторная работа,Лихачев В.А.,1-510
24575_2_30032026_12042026.pdf,03.04.26,пятница,08:20-09:50,Общая группа,Технология и оборудование термической обработки,Лекция,Плюснин Е.С.,1-313
24575_2_30032026_12042026.pdf,03.04.26,пятница,10:00-11:30,Общая группа,Технология и оборудование термической обработки в рамках практической подготовки,Практическое занятие,Плюснин Е.С.,1-312
24575_2_30032026_12042026.pdf,03.04.26,пятница,11:45-13:15,Общая группа,Технология и оборудование термической обработки,Практическое занятие,Плюснин Е.С.,1-312
