Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25328_2_30032026_12042026.pdf,30.03.26,понедельник,17:20-18:50,Общая группа,Электрохимические покрытия в производстве радиоэлектронной аппаратуры,Лекция,Михайлова И.Ю.,1-513
25328_2_30032026_12042026.pdf,30.03.26,понедельник,18:55-20:25,Общая группа,Электрохимические покрытия в производстве радиоэлектронной аппаратуры,Практическое занятие,Михайлова И.Ю.,1-513
25328_2_30032026_12042026.pdf,31.03.26,вторник,08:20-09:50,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-509
25328_2_30032026_12042026.pdf,31.03.26,вторник,10:00-11:30,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-509
25328_2_30032026_12042026.pdf,31.03.26,вторник,11:45-13:15,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-509
25328_2_30032026_12042026.pdf,31.03.26,вторник,14:00-15:30,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-509
25328_2_30032026_12042026.pdf,31.03.26,вторник,15:45-17:15,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-509
25328_2_30032026_12042026.pdf,03.04.26,пятница,17:20-18:50,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Суслопарова М.М.,15-339
25328_2_30032026_12042026.pdf,03.04.26,пятница,17:20-18:50,02 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Макаров А.Н.,1-227
25328_2_30032026_12042026.pdf,03.04.26,пятница,18:55-20:25,02 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Макаров А.Н.,1-227
25328_2_30032026_12042026.pdf,04.04.26,суббота,08:20-09:50,Общая группа,Основные мембранные технологии,Лекция,Михайлова И.Ю.,1-513
25328_2_30032026_12042026.pdf,04.04.26,суббота,10:00-11:30,Общая группа,Основные мембранные технологии,Практическое занятие,Михайлова И.Ю.,1-513
25328_2_30032026_12042026.pdf,06.04.26,понедельник,17:20-18:50,Общая группа,Новые технологии гальванохимических процессов,Лекция,Михайлова И.Ю.,1-502
25328_2_30032026_12042026.pdf,06.04.26,понедельник,18:55-20:25,Общая группа,Новые технологии гальванохимических процессов,Практическое занятие,Михайлова И.Ю.,1-502
25328_2_30032026_12042026.pdf,07.04.26,вторник,08:20-09:50,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-510
25328_2_30032026_12042026.pdf,07.04.26,вторник,10:00-11:30,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-510
25328_2_30032026_12042026.pdf,07.04.26,вторник,11:45-13:15,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-510
25328_2_30032026_12042026.pdf,07.04.26,вторник,14:00-15:30,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-510
25328_2_30032026_12042026.pdf,07.04.26,вторник,15:45-17:15,Общая группа,"Учебная практика, научно-исследовательская работа (получение первичных навыков научно-исследовательской работы)",Не указан,Не указан,1-510
25328_2_30032026_12042026.pdf,09.04.26,четверг,17:20-18:50,Общая группа,Нанотехнологии в обработке и модификации поверхности,Лекция,Кузьмин А.В.,1-513
25328_2_30032026_12042026.pdf,09.04.26,четверг,18:55-20:25,Общая группа,Нанотехнологии в обработке и модификации поверхности,Практическое занятие,Кузьмин А.В.,1-513
25328_2_30032026_12042026.pdf,10.04.26,пятница,17:20-18:50,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Суслопарова М.М.,15-339
25328_2_30032026_12042026.pdf,11.04.26,суббота,10:00-11:30,Общая группа,Методы исследования электродных процессов,Лабораторная работа,Девятерикова С.В.,1-509
25328_2_30032026_12042026.pdf,11.04.26,суббота,11:45-13:15,Общая группа,Методы исследования электродных процессов,Лабораторная работа,Девятерикова С.В.,1-509
25328_2_30032026_12042026.pdf,11.04.26,суббота,14:00-15:30,Общая группа,Методы исследования электродных процессов,Лабораторная работа,Девятерикова С.В.,1-509
