Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
517_1_25052026_07062026.html,01.06.26,понедельник,17:20-18:50,Общая группа,Компьютерная лингвистика,Лабораторная работа,Пахарева И.В.,1-109
517_1_25052026_07062026.html,01.06.26,понедельник,17:20-18:50,01 подгруппа,Компьютерная лингвистика,Лабораторная работа,Пахарева И.В.,1-109
517_1_25052026_07062026.html,01.06.26,понедельник,17:20-18:50,02 подгруппа,Компьютерная лингвистика,Лабораторная работа,Пахарева И.В.,1-109
517_1_25052026_07062026.html,01.06.26,понедельник,18:55-20:25,Общая группа,Компьютерная лингвистика,Лабораторная работа,Пахарева И.В.,1-109
517_1_25052026_07062026.html,01.06.26,понедельник,18:55-20:25,01 подгруппа,Компьютерная лингвистика,Лабораторная работа,Пахарева И.В.,1-109
517_1_25052026_07062026.html,01.06.26,понедельник,18:55-20:25,02 подгруппа,Компьютерная лингвистика,Лабораторная работа,Пахарева И.В.,1-109
518_1_25052026_07062026.html,01.06.26,понедельник,17:20-18:50,Общая группа,Современные методы цифровой обработки сигналов,Лабораторная работа,Левин М.Н.,3-205
518_1_25052026_07062026.html,01.06.26,понедельник,17:20-18:50,01 подгруппа,Современные методы цифровой обработки сигналов,Лабораторная работа,Левин М.Н.,3-205
518_1_25052026_07062026.html,01.06.26,понедельник,17:20-18:50,02 подгруппа,Современные методы цифровой обработки сигналов,Лабораторная работа,Левин М.Н.,3-205
518_1_25052026_07062026.html,01.06.26,понедельник,18:55-20:25,Общая группа,Современные методы цифровой обработки сигналов,Лабораторная работа,Левин М.Н.,3-205
518_1_25052026_07062026.html,01.06.26,понедельник,18:55-20:25,01 подгруппа,Современные методы цифровой обработки сигналов,Лабораторная работа,Левин М.Н.,3-205
518_1_25052026_07062026.html,01.06.26,понедельник,18:55-20:25,02 подгруппа,Современные методы цифровой обработки сигналов,Лабораторная работа,Левин М.Н.,3-205
