Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
509_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,Общая группа,"Материаловедение , Материаловедение",Лабораторная работа,Фоминых А.А.,8-605
509_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,01 подгруппа,"Материаловедение , Материаловедение",Лабораторная работа,Фоминых А.А.,8-605
509_1_25052026_07062026.html,01.06.26,понедельник,10:00-11:30,02 подгруппа,"Материаловедение , Материаловедение",Лабораторная работа,Фоминых А.А.,8-605
509_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,Общая группа,"Материаловедение , Материаловедение",Лабораторная работа,Фоминых А.А.,8-605
509_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,01 подгруппа,"Материаловедение , Материаловедение",Лабораторная работа,Фоминых А.А.,8-605
509_1_25052026_07062026.html,01.06.26,понедельник,11:45-13:15,02 подгруппа,"Материаловедение , Материаловедение",Лабораторная работа,Фоминых А.А.,8-605
924_1_25052026_07062026.html,01.06.26,понедельник,14:00-15:30,Общая группа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,01.06.26,понедельник,14:00-15:30,01 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,01.06.26,понедельник,14:00-15:30,02 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
924_1_25052026_07062026.html,01.06.26,понедельник,14:00-15:30,03 подгруппа,Инженерная графика,Лабораторная работа,Буравлева Е.Г.,1-602
