Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
518_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,Математика,Практическое занятие,Чернядьев С.Ю.,1-601
518_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,Математика,Практическое занятие,Чернядьев С.Ю.,1-601
518_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,Математика,Практическое занятие,Чернядьев С.Ю.,1-601
518_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,03 подгруппа,Математика,Практическое занятие,Чернядьев С.Ю.,1-601
974_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Алгоритмы и структуры данных,Лекция,Харина Н.Л.,1-534
974_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,Алгоритмы и структуры данных,Лекция,Харина Н.Л.,1-534
974_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Алгоритмы и структуры данных,Лекция,Харина Н.Л.,1-534
974_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,03 подгруппа,Алгоритмы и структуры данных,Лекция,Харина Н.Л.,1-534
974_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,Общая группа,Введение в аппаратное обеспечение систем искусственного интеллекта,Лекция,Колупаев А.В.,1-534
974_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,01 подгруппа,Введение в аппаратное обеспечение систем искусственного интеллекта,Лекция,Колупаев А.В.,1-534
974_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,02 подгруппа,Введение в аппаратное обеспечение систем искусственного интеллекта,Лекция,Колупаев А.В.,1-534
974_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,03 подгруппа,Введение в аппаратное обеспечение систем искусственного интеллекта,Лекция,Колупаев А.В.,1-534
