Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
429_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,03 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,Общая группа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,01 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,02 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
429_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,03 подгруппа,Инженерная химия,Лабораторная работа,Фокина А.И.,15-419
472_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Соймонов И.А.,Не указан
472_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Соймонов И.А.,Не указан
472_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 131),Практическое занятие,Соймонов И.А.,Не указан
