Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
516_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Теория государства и права,Лекция,Бакшаев М.В.,13-609
516_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,Теория государства и права,Лекция,Бакшаев М.В.,13-609
516_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Теория государства и права,Лекция,Бакшаев М.В.,13-609
516_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,Общая группа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-609
516_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,01 подгруппа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-609
516_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,02 подгруппа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-609
516_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,История государства и права России,Практическое занятие,Зырянова А.В.,13-110
516_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,История государства и права России,Практическое занятие,Зырянова А.В.,13-110
516_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,История государства и права России,Практическое занятие,Зырянова А.В.,13-110
516_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,Общая группа,История государства и права России,Практическое занятие,Зырянова А.В.,13-110
516_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,01 подгруппа,История государства и права России,Практическое занятие,Зырянова А.В.,13-110
516_1_25052026_07062026.html,02.06.26,вторник,15:45-17:15,02 подгруппа,История государства и права России,Практическое занятие,Зырянова А.В.,13-110
516_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,Общая группа,История государства и права зарубежных стран,Практическое занятие,Смирнов М.А.,13-608
516_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,01 подгруппа,История государства и права зарубежных стран,Практическое занятие,Смирнов М.А.,13-608
516_1_25052026_07062026.html,02.06.26,вторник,17:20-18:50,02 подгруппа,История государства и права зарубежных стран,Практическое занятие,Смирнов М.А.,13-608
