Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Боков А.В.,19-322
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Боков А.В.,19-322
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Пластинина В.Б.,14-115
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 285),Практическое занятие,Пластинина В.Б.,14-115
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Подковырин В.Д.,14-106
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (21 284),Практическое занятие,Подковырин В.Д.,14-106
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (11 126) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 126)",Практическое занятие,Ромашов А.Ю.,14-115
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 126) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 126)",Практическое занятие,Ромашов А.Ю.,14-115
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Соймонов И.А.,14-106
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Соймонов И.А.,14-106
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,19-206
472_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (11 039),Практическое занятие,Стрельникова И.В.,19-206
892_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,Общая группа,История искусств,Лекция,Горюнова Т.А.,14-329
892_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,01 подгруппа,История искусств,Лекция,Горюнова Т.А.,14-329
892_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,02 подгруппа,История искусств,Лекция,Горюнова Т.А.,14-329
