Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
482_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Макаров А.Н.,14-122
482_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,01 подгруппа,Иностранный язык,Практическое занятие,Макаров А.Н.,14-122
482_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,02 подгруппа,Иностранный язык,Практическое занятие,Макаров А.Н.,14-122
482_1_25052026_07062026.html,02.06.26,вторник,14:00-15:30,03 подгруппа,Иностранный язык,Практическое занятие,Макаров А.Н.,14-122
513_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,Общая группа,Основы экономико-математического моделирования,Лекция,Фалалеев А.В.,14-338
513_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,01 подгруппа,Основы экономико-математического моделирования,Лекция,Фалалеев А.В.,14-338
513_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,02 подгруппа,Основы экономико-математического моделирования,Лекция,Фалалеев А.В.,14-338
513_1_25052026_07062026.html,02.06.26,вторник,11:45-13:15,03 подгруппа,Основы экономико-математического моделирования,Лекция,Фалалеев А.В.,14-338
893_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,Общая группа,История России,Практическое занятие,Мокерова Е.Ю.,14-209
893_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,01 подгруппа,История России,Практическое занятие,Мокерова Е.Ю.,14-209
893_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,02 подгруппа,История России,Практическое занятие,Мокерова Е.Ю.,14-209
893_1_25052026_07062026.html,02.06.26,вторник,10:00-11:30,03 подгруппа,История России,Практическое занятие,Мокерова Е.Ю.,14-209
