Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
513_1_25052026_07062026.html,03.06.26,среда,08:20-09:50,Общая группа,Экономическая теория,Лекция,Кашина Е.В.,14-338
513_1_25052026_07062026.html,03.06.26,среда,08:20-09:50,01 подгруппа,Экономическая теория,Лекция,Кашина Е.В.,14-338
513_1_25052026_07062026.html,03.06.26,среда,08:20-09:50,02 подгруппа,Экономическая теория,Лекция,Кашина Е.В.,14-338
513_1_25052026_07062026.html,03.06.26,среда,08:20-09:50,03 подгруппа,Экономическая теория,Лекция,Кашина Е.В.,14-338
513_1_25052026_07062026.html,03.06.26,среда,10:00-11:30,Общая группа,Экономическая теория,Практическое занятие,Кашина Е.В.,16-207
513_1_25052026_07062026.html,03.06.26,среда,10:00-11:30,01 подгруппа,Экономическая теория,Практическое занятие,Кашина Е.В.,16-207
513_1_25052026_07062026.html,03.06.26,среда,10:00-11:30,02 подгруппа,Экономическая теория,Практическое занятие,Кашина Е.В.,16-207
513_1_25052026_07062026.html,03.06.26,среда,10:00-11:30,03 подгруппа,Экономическая теория,Практическое занятие,Кашина Е.В.,16-207
513_1_25052026_07062026.html,03.06.26,среда,14:00-15:30,Общая группа,Час с куратором,Не указан,Кашина Е.В.,16-322
513_1_25052026_07062026.html,03.06.26,среда,14:00-15:30,01 подгруппа,Час с куратором,Не указан,Кашина Е.В.,16-322
513_1_25052026_07062026.html,03.06.26,среда,14:00-15:30,02 подгруппа,Час с куратором,Не указан,Кашина Е.В.,16-322
513_1_25052026_07062026.html,03.06.26,среда,14:00-15:30,03 подгруппа,Час с куратором,Не указан,Кашина Е.В.,16-322
