Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
502_1_25052026_07062026.html,04.06.26,четверг,10:00-11:30,Общая группа,"Детали мехатронных модулей, роботов и их конструирование",Не указан,Лисовский В.А.,1-313
502_1_25052026_07062026.html,04.06.26,четверг,10:00-11:30,01 подгруппа,"Детали мехатронных модулей, роботов и их конструирование",Не указан,Лисовский В.А.,1-313
502_1_25052026_07062026.html,04.06.26,четверг,10:00-11:30,02 подгруппа,"Детали мехатронных модулей, роботов и их конструирование",Не указан,Лисовский В.А.,1-313
502_1_25052026_07062026.html,04.06.26,четверг,11:45-13:15,Общая группа,"Детали мехатронных модулей, роботов и их конструирование",Не указан,Лисовский В.А.,1-313
502_1_25052026_07062026.html,04.06.26,четверг,11:45-13:15,01 подгруппа,"Детали мехатронных модулей, роботов и их конструирование",Не указан,Лисовский В.А.,1-313
502_1_25052026_07062026.html,04.06.26,четверг,11:45-13:15,02 подгруппа,"Детали мехатронных модулей, роботов и их конструирование",Не указан,Лисовский В.А.,1-313
892_1_25052026_07062026.html,04.06.26,четверг,14:00-15:30,Общая группа,Философия,Не указан,Ситникова Е.Л.,1-236
892_1_25052026_07062026.html,04.06.26,четверг,14:00-15:30,01 подгруппа,Философия,Не указан,Ситникова Е.Л.,1-236
892_1_25052026_07062026.html,04.06.26,четверг,14:00-15:30,02 подгруппа,Философия,Не указан,Ситникова Е.Л.,1-236
892_1_25052026_07062026.html,04.06.26,четверг,15:45-17:15,Общая группа,Философия,Не указан,Ситникова Е.Л.,1-236
892_1_25052026_07062026.html,04.06.26,четверг,15:45-17:15,01 подгруппа,Философия,Не указан,Ситникова Е.Л.,1-236
892_1_25052026_07062026.html,04.06.26,четверг,15:45-17:15,02 подгруппа,Философия,Не указан,Ситникова Е.Л.,1-236
