Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
888_1_25052026_07062026.html,06.06.26,суббота,08:20-09:50,Общая группа,Классические алгоритмы и структуры данных,Лабораторная работа,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,08:20-09:50,01 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,10:00-11:30,Общая группа,Классические алгоритмы и структуры данных,Лабораторная работа,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,10:00-11:30,01 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,11:45-13:15,Общая группа,Классические алгоритмы и структуры данных,Лекция,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,11:45-13:15,01 подгруппа,Классические алгоритмы и структуры данных,Лекция,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,11:45-13:15,02 подгруппа,Классические алгоритмы и структуры данных,Лекция,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,11:45-13:15,03 подгруппа,Классические алгоритмы и структуры данных,Лекция,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,14:00-15:30,Общая группа,Классические алгоритмы и структуры данных,Лабораторная работа,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,14:00-15:30,02 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,15:45-17:15,Общая группа,Классические алгоритмы и структуры данных,Лабораторная работа,Ардашева Ю.М.,16-415
888_1_25052026_07062026.html,06.06.26,суббота,15:45-17:15,02 подгруппа,Классические алгоритмы и структуры данных,Лабораторная работа,Ардашева Ю.М.,16-415
