Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
448_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,Общая группа,Биосфера Земли,Не указан,Олькова А.С.,15-264
448_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,01 подгруппа,Биосфера Земли,Не указан,Олькова А.С.,15-264
448_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,02 подгруппа,Биосфера Земли,Не указан,Олькова А.С.,15-264
448_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Биосфера Земли,Не указан,Олькова А.С.,15-264
448_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,Биосфера Земли,Не указан,Олькова А.С.,15-264
448_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,Биосфера Земли,Не указан,Олькова А.С.,15-264
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (11 126) , , Элективные дисциплины (модули) по физической культуре и спорту (11 126) , , . Элективные дисциплины (модули) по физической культуре и спорту",Практическое занятие,Боков А.В.,14-115
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,02 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 126) , , Элективные дисциплины (модули) по физической культуре и спорту (11 126) , , . Элективные дисциплины (модули) по физической культуре и спорту",Практическое занятие,Боков А.В.,14-115
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (11 039) , , , Элективные дисциплины (модули) по физической культуре и спорту (11 039)",Практическое занятие,Плюснина Ю.А.,19-301
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,02 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 039) , , , Элективные дисциплины (модули) по физической культуре и спорту (11 039)",Практическое занятие,Плюснина Ю.А.,19-301
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Постников Н.К.,9-115
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,01 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Постников Н.К.,9-115
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,02 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (11 131) , , , , Элективные дисциплины (модули) по физической культуре и спорту (11 131)",Практическое занятие,Постников Н.К.,9-115
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,Общая группа,"Элективные дисциплины (модули) по физической культуре и спорту (16 485) , , Элективные дисциплины (модули) по физической культуре и спорту (16 485)",Практическое занятие,Салопин О.М.,9-209
472_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,01 подгруппа,"Элективные дисциплины (модули) по физической культуре и спорту (16 485) , , Элективные дисциплины (модули) по физической культуре и спорту (16 485)",Практическое занятие,Салопин О.М.,9-209
