Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,"Адаптивная физическая культура , , Адаптивная физическая культура , , Адаптивная физическая культура",Практическое занятие,Клецко А.Н.,14-147
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,"Адаптивная физическая культура , , Адаптивная физическая культура , , Адаптивная физическая культура",Практическое занятие,Клецко А.Н.,14-147
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,"Адаптивная физическая культура , , Адаптивная физическая культура , , Адаптивная физическая культура",Практическое занятие,Клецко А.Н.,14-147
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,"Волейбол , Волейбол , , Волейбол",Практическое занятие,Крестьянинова О.В.,14-108
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,"Волейбол , Волейбол , , Волейбол",Практическое занятие,Крестьянинова О.В.,14-108
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,"Волейбол , Волейбол , , Волейбол",Практическое занятие,Крестьянинова О.В.,14-108
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,"Фитнес-аэробика , Фитнес-аэробика",Практическое занятие,Ромашов А.Ю.,14-115
472_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,"Фитнес-аэробика , Фитнес-аэробика",Практическое занятие,Ромашов А.Ю.,14-115
483_1_08062026_21062026.html,08.06.26,понедельник,08:20-09:50,Общая группа,Управление процессами интеграции молодежи в трудной жизненной ситуации,Практическое занятие,Волченкова Е.В.,14-211
483_1_08062026_21062026.html,08.06.26,понедельник,08:20-09:50,01 подгруппа,Управление процессами интеграции молодежи в трудной жизненной ситуации,Практическое занятие,Волченкова Е.В.,14-211
483_1_08062026_21062026.html,08.06.26,понедельник,08:20-09:50,02 подгруппа,Управление процессами интеграции молодежи в трудной жизненной ситуации,Практическое занятие,Волченкова Е.В.,14-211
483_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,Общая группа,Управление процессами интеграции молодежи в трудной жизненной ситуации,Практическое занятие,Волченкова Е.В.,14-211
483_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,01 подгруппа,Управление процессами интеграции молодежи в трудной жизненной ситуации,Практическое занятие,Волченкова Е.В.,14-211
483_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,02 подгруппа,Управление процессами интеграции молодежи в трудной жизненной ситуации,Практическое занятие,Волченкова Е.В.,14-211
