Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
451_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,Общая группа,Цветоведение и колористика,Не указан,Николаев А.Л.,17-456
451_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,01 подгруппа,Цветоведение и колористика,Не указан,Николаев А.Л.,17-456
451_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,02 подгруппа,Цветоведение и колористика,Не указан,Николаев А.Л.,17-456
451_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Цветоведение и колористика,Не указан,Николаев А.Л.,17-456
451_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,Цветоведение и колористика,Не указан,Николаев А.Л.,17-456
451_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,Цветоведение и колористика,Не указан,Николаев А.Л.,17-456
451_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,Общая группа,Инфографика и технический рисунок,Не указан,Лисовский В.А.,17-457
451_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,01 подгруппа,Инфографика и технический рисунок,Не указан,Лисовский В.А.,17-457
451_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,02 подгруппа,Инфографика и технический рисунок,Не указан,Лисовский В.А.,17-457
451_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,Общая группа,Инфографика и технический рисунок,Не указан,Лисовский В.А.,17-457
451_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,01 подгруппа,Инфографика и технический рисунок,Не указан,Лисовский В.А.,17-457
451_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,02 подгруппа,Инфографика и технический рисунок,Не указан,Лисовский В.А.,17-457
