Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
454_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,Общая группа,Философия права,Практическое занятие,Рогова Н.Н.,13-105
454_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,01 подгруппа,Философия права,Практическое занятие,Рогова Н.Н.,13-105
454_1_08062026_21062026.html,08.06.26,понедельник,10:00-11:30,02 подгруппа,Философия права,Практическое занятие,Рогова Н.Н.,13-105
454_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,Общая группа,Философия права,Не указан,Рогова Н.Н.,13-105
454_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,01 подгруппа,Философия права,Не указан,Рогова Н.Н.,13-105
454_1_08062026_21062026.html,08.06.26,понедельник,11:45-13:15,02 подгруппа,Философия права,Не указан,Рогова Н.Н.,13-105
454_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,Общая группа,Судебная защита публичных прав и интересов,Лекция,Паканич С.И.,13-111
454_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,01 подгруппа,Судебная защита публичных прав и интересов,Лекция,Паканич С.И.,13-111
454_1_08062026_21062026.html,08.06.26,понедельник,14:00-15:30,02 подгруппа,Судебная защита публичных прав и интересов,Лекция,Паканич С.И.,13-111
454_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,Общая группа,Судебная защита публичных прав и интересов,Практическое занятие,Паканич С.И.,13-111
454_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,01 подгруппа,Судебная защита публичных прав и интересов,Практическое занятие,Паканич С.И.,13-111
454_1_08062026_21062026.html,08.06.26,понедельник,15:45-17:15,02 подгруппа,Судебная защита публичных прав и интересов,Практическое занятие,Паканич С.И.,13-111
