Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
476_1_08062026_21062026.html,09.06.26,вторник,08:20-09:50,Общая группа,Русский язык и культура речи,Практическое занятие,Трушков М.А.,2-300
476_1_08062026_21062026.html,09.06.26,вторник,08:20-09:50,01 подгруппа,Русский язык и культура речи,Практическое занятие,Трушков М.А.,2-300
476_1_08062026_21062026.html,09.06.26,вторник,08:20-09:50,02 подгруппа,Русский язык и культура речи,Практическое занятие,Трушков М.А.,2-300
476_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,Общая группа,Русский язык и культура речи,Не указан,Трушков М.А.,2-300
476_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,01 подгруппа,Русский язык и культура речи,Не указан,Трушков М.А.,2-300
476_1_08062026_21062026.html,09.06.26,вторник,10:00-11:30,02 подгруппа,Русский язык и культура речи,Не указан,Трушков М.А.,2-300
890_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,Общая группа,Технические средства автоматики и управления,Практическое занятие,Родионов К.В.,2-203
890_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,01 подгруппа,Технические средства автоматики и управления,Практическое занятие,Родионов К.В.,2-203
890_1_08062026_21062026.html,09.06.26,вторник,11:45-13:15,02 подгруппа,Технические средства автоматики и управления,Практическое занятие,Родионов К.В.,2-203
890_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,Общая группа,Технические средства автоматики и управления,Практическое занятие,Родионов К.В.,2-203
890_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,01 подгруппа,Технические средства автоматики и управления,Практическое занятие,Родионов К.В.,2-203
890_1_08062026_21062026.html,09.06.26,вторник,14:00-15:30,02 подгруппа,Технические средства автоматики и управления,Практическое занятие,Родионов К.В.,2-203
