Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
472_1_08062026_21062026.html,10.06.26,среда,14:00-15:30,Общая группа,Элективные дисциплины (модули) по физической культуре и спорту (16 324),Не указан,Соймонов И.А.,2-209
472_1_08062026_21062026.html,10.06.26,среда,14:00-15:30,01 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 324),Не указан,Соймонов И.А.,2-209
472_1_08062026_21062026.html,10.06.26,среда,14:00-15:30,02 подгруппа,Элективные дисциплины (модули) по физической культуре и спорту (16 324),Не указан,Соймонов И.А.,2-209
516_1_08062026_21062026.html,10.06.26,среда,08:20-09:50,Общая группа,Основы российского законодательства,Практическое занятие,Кушова И.А.,2-407
516_1_08062026_21062026.html,10.06.26,среда,08:20-09:50,01 подгруппа,Основы российского законодательства,Практическое занятие,Кушова И.А.,2-407
516_1_08062026_21062026.html,10.06.26,среда,08:20-09:50,02 подгруппа,Основы российского законодательства,Практическое занятие,Кушова И.А.,2-407
893_1_08062026_21062026.html,10.06.26,среда,10:00-11:30,Общая группа,История России,Лекция,Рычкова О.В.,2-209
893_1_08062026_21062026.html,10.06.26,среда,10:00-11:30,01 подгруппа,История России,Лекция,Рычкова О.В.,2-209
893_1_08062026_21062026.html,10.06.26,среда,10:00-11:30,02 подгруппа,История России,Лекция,Рычкова О.В.,2-209
893_1_08062026_21062026.html,10.06.26,среда,11:45-13:15,Общая группа,История России,Лекция,Рычкова О.В.,2-209
893_1_08062026_21062026.html,10.06.26,среда,11:45-13:15,01 подгруппа,История России,Лекция,Рычкова О.В.,2-209
893_1_08062026_21062026.html,10.06.26,среда,11:45-13:15,02 подгруппа,История России,Лекция,Рычкова О.В.,2-209
