Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
454_1_08062026_21062026.html,11.06.26,четверг,08:20-09:50,Общая группа,Философия,Практическое занятие,Брагина А.М.,13-511
454_1_08062026_21062026.html,11.06.26,четверг,08:20-09:50,01 подгруппа,Философия,Практическое занятие,Брагина А.М.,13-511
454_1_08062026_21062026.html,11.06.26,четверг,08:20-09:50,02 подгруппа,Философия,Практическое занятие,Брагина А.М.,13-511
482_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,Общая группа,Иностранный язык в сфере юриспруденции,Практическое занятие,Четвериков Б.А.,13-511
482_1_08062026_21062026.html,11.06.26,четверг,14:00-15:30,01 подгруппа,Иностранный язык в сфере юриспруденции,Практическое занятие,Четвериков Б.А.,13-511
482_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,Общая группа,"Иностранный язык в сфере юриспруденции , Иностранный язык в сфере юриспруденции",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,02 подгруппа,"Иностранный язык в сфере юриспруденции , Иностранный язык в сфере юриспруденции",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,Общая группа,Иностранный язык в сфере юриспруденции,Практическое занятие,Четвериков Б.А.,13-511
482_1_08062026_21062026.html,11.06.26,четверг,15:45-17:15,01 подгруппа,Иностранный язык в сфере юриспруденции,Практическое занятие,Четвериков Б.А.,13-511
482_1_08062026_21062026.html,11.06.26,четверг,17:20-18:50,Общая группа,"Иностранный язык в сфере юриспруденции , Иностранный язык в сфере юриспруденции",Практическое занятие,Костоломова О.В.,1-227
482_1_08062026_21062026.html,11.06.26,четверг,17:20-18:50,02 подгруппа,"Иностранный язык в сфере юриспруденции , Иностранный язык в сфере юриспруденции",Практическое занятие,Костоломова О.В.,1-227
