Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
465_1_08062026_21062026.html,16.06.26,вторник,08:20-09:50,Общая группа,Основы российского законодательства,Лекция,Попова С.А.,15-343
465_1_08062026_21062026.html,16.06.26,вторник,08:20-09:50,01 подгруппа,Основы российского законодательства,Лекция,Попова С.А.,15-343
465_1_08062026_21062026.html,16.06.26,вторник,08:20-09:50,02 подгруппа,Основы российского законодательства,Лекция,Попова С.А.,15-343
465_1_08062026_21062026.html,16.06.26,вторник,10:00-11:30,Общая группа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-343
465_1_08062026_21062026.html,16.06.26,вторник,10:00-11:30,01 подгруппа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-343
465_1_08062026_21062026.html,16.06.26,вторник,10:00-11:30,02 подгруппа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-343
465_1_08062026_21062026.html,16.06.26,вторник,11:45-13:15,Общая группа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-343
465_1_08062026_21062026.html,16.06.26,вторник,11:45-13:15,01 подгруппа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-343
465_1_08062026_21062026.html,16.06.26,вторник,11:45-13:15,02 подгруппа,Основы российского законодательства,Практическое занятие,Попова С.А.,15-343
482_1_08062026_21062026.html,16.06.26,вторник,14:00-15:30,Общая группа,Иностранный язык,Практическое занятие,Четвериков Б.А.,14-309
482_1_08062026_21062026.html,16.06.26,вторник,14:00-15:30,02 подгруппа,Иностранный язык,Практическое занятие,Четвериков Б.А.,14-309
482_1_08062026_21062026.html,16.06.26,вторник,14:00-15:30,Общая группа,Иностранный язык,Не указан,Шевченко А.И.,15-218
482_1_08062026_21062026.html,16.06.26,вторник,14:00-15:30,01 подгруппа,Иностранный язык,Не указан,Шевченко А.И.,15-218
482_1_08062026_21062026.html,16.06.26,вторник,15:45-17:15,Общая группа,Иностранный язык,Практическое занятие,Четвериков Б.А.,14-309
482_1_08062026_21062026.html,16.06.26,вторник,15:45-17:15,02 подгруппа,Иностранный язык,Практическое занятие,Четвериков Б.А.,14-309
482_1_08062026_21062026.html,16.06.26,вторник,17:20-18:50,Общая группа,Иностранный язык,Не указан,Четвериков Б.А.,14-309
482_1_08062026_21062026.html,16.06.26,вторник,17:20-18:50,02 подгруппа,Иностранный язык,Не указан,Четвериков Б.А.,14-309
