Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
889_1_08062026_21062026.html,17.06.26,среда,14:00-15:30,Общая группа,Математика,Практическое занятие,Петров А.А.,14-234
889_1_08062026_21062026.html,17.06.26,среда,14:00-15:30,01 подгруппа,Математика,Практическое занятие,Петров А.А.,14-234
889_1_08062026_21062026.html,17.06.26,среда,14:00-15:30,02 подгруппа,Математика,Практическое занятие,Петров А.А.,14-234
889_1_08062026_21062026.html,17.06.26,среда,15:45-17:15,Общая группа,Математика,Практическое занятие,Петров А.А.,14-234
889_1_08062026_21062026.html,17.06.26,среда,15:45-17:15,01 подгруппа,Математика,Практическое занятие,Петров А.А.,14-234
889_1_08062026_21062026.html,17.06.26,среда,15:45-17:15,02 подгруппа,Математика,Практическое занятие,Петров А.А.,14-234
969_1_08062026_21062026.html,17.06.26,среда,10:00-11:30,Общая группа,Физика,Практическое занятие,Коханов К.А.,14-209
969_1_08062026_21062026.html,17.06.26,среда,10:00-11:30,01 подгруппа,Физика,Практическое занятие,Коханов К.А.,14-209
969_1_08062026_21062026.html,17.06.26,среда,10:00-11:30,02 подгруппа,Физика,Практическое занятие,Коханов К.А.,14-209
969_1_08062026_21062026.html,17.06.26,среда,11:45-13:15,Общая группа,Физика,Практическое занятие,Коханов К.А.,14-209
969_1_08062026_21062026.html,17.06.26,среда,11:45-13:15,01 подгруппа,Физика,Практическое занятие,Коханов К.А.,14-209
969_1_08062026_21062026.html,17.06.26,среда,11:45-13:15,02 подгруппа,Физика,Практическое занятие,Коханов К.А.,14-209
969_1_08062026_21062026.html,17.06.26,среда,17:20-18:50,Общая группа,Физика,Лабораторная работа,Коханов К.А.,14-303
969_1_08062026_21062026.html,17.06.26,среда,17:20-18:50,01 подгруппа,Физика,Лабораторная работа,Коханов К.А.,14-303
969_1_08062026_21062026.html,17.06.26,среда,17:20-18:50,02 подгруппа,Физика,Лабораторная работа,Коханов К.А.,14-303
969_1_08062026_21062026.html,17.06.26,среда,18:55-20:25,Общая группа,Физика,Лабораторная работа,Коханов К.А.,14-303
969_1_08062026_21062026.html,17.06.26,среда,18:55-20:25,01 подгруппа,Физика,Лабораторная работа,Коханов К.А.,14-303
969_1_08062026_21062026.html,17.06.26,среда,18:55-20:25,02 подгруппа,Физика,Лабораторная работа,Коханов К.А.,14-303
