Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
502_1_08062026_21062026.html,18.06.26,четверг,10:00-11:30,Общая группа,Механика и технологии конструкционных материалов,Лекция,Плюснин Е.С.,1-311
502_1_08062026_21062026.html,18.06.26,четверг,10:00-11:30,01 подгруппа,Механика и технологии конструкционных материалов,Лекция,Плюснин Е.С.,1-311
502_1_08062026_21062026.html,18.06.26,четверг,10:00-11:30,02 подгруппа,Механика и технологии конструкционных материалов,Лекция,Плюснин Е.С.,1-311
502_1_08062026_21062026.html,18.06.26,четверг,11:45-13:15,Общая группа,Механика и технологии конструкционных материалов,Практическое занятие,Плюснин Е.С.,1-311
502_1_08062026_21062026.html,18.06.26,четверг,11:45-13:15,01 подгруппа,Механика и технологии конструкционных материалов,Практическое занятие,Плюснин Е.С.,1-311
502_1_08062026_21062026.html,18.06.26,четверг,11:45-13:15,02 подгруппа,Механика и технологии конструкционных материалов,Практическое занятие,Плюснин Е.С.,1-311
514_1_08062026_21062026.html,18.06.26,четверг,14:00-15:30,Общая группа,Разработка и управление инновационным проектом,Не указан,Гордин А.А.,2-204а
514_1_08062026_21062026.html,18.06.26,четверг,14:00-15:30,01 подгруппа,Разработка и управление инновационным проектом,Не указан,Гордин А.А.,2-204а
514_1_08062026_21062026.html,18.06.26,четверг,14:00-15:30,02 подгруппа,Разработка и управление инновационным проектом,Не указан,Гордин А.А.,2-204а
514_1_08062026_21062026.html,18.06.26,четверг,15:45-17:15,Общая группа,Разработка и управление инновационным проектом,Не указан,Гордин А.А.,2-204а
514_1_08062026_21062026.html,18.06.26,четверг,15:45-17:15,01 подгруппа,Разработка и управление инновационным проектом,Не указан,Гордин А.А.,2-204а
514_1_08062026_21062026.html,18.06.26,четверг,15:45-17:15,02 подгруппа,Разработка и управление инновационным проектом,Не указан,Гордин А.А.,2-204а
