Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
498_1_08062026_21062026.html,18.06.26,четверг,11:45-13:15,Общая группа,Экология,Не указан,Горностаева Е.А.,1-533
498_1_08062026_21062026.html,18.06.26,четверг,11:45-13:15,01 подгруппа,Экология,Не указан,Горностаева Е.А.,1-533
498_1_08062026_21062026.html,18.06.26,четверг,11:45-13:15,02 подгруппа,Экология,Не указан,Горностаева Е.А.,1-533
498_1_08062026_21062026.html,18.06.26,четверг,14:00-15:30,Общая группа,Экология,Не указан,Горностаева Е.А.,1-533
498_1_08062026_21062026.html,18.06.26,четверг,14:00-15:30,01 подгруппа,Экология,Не указан,Горностаева Е.А.,1-533
498_1_08062026_21062026.html,18.06.26,четверг,14:00-15:30,02 подгруппа,Экология,Не указан,Горностаева Е.А.,1-533
893_1_08062026_21062026.html,18.06.26,четверг,08:20-09:50,Общая группа,История России,Лекция,Росина М.А.,1-312
893_1_08062026_21062026.html,18.06.26,четверг,08:20-09:50,01 подгруппа,История России,Лекция,Росина М.А.,1-312
893_1_08062026_21062026.html,18.06.26,четверг,08:20-09:50,02 подгруппа,История России,Лекция,Росина М.А.,1-312
893_1_08062026_21062026.html,18.06.26,четверг,10:00-11:30,Общая группа,История России,Лекция,Росина М.А.,1-312
893_1_08062026_21062026.html,18.06.26,четверг,10:00-11:30,01 подгруппа,История России,Лекция,Росина М.А.,1-312
893_1_08062026_21062026.html,18.06.26,четверг,10:00-11:30,02 подгруппа,История России,Лекция,Росина М.А.,1-312
924_1_08062026_21062026.html,18.06.26,четверг,15:45-17:15,Общая группа,Инженерная графика,Лабораторная работа,Ведерников Я.Д.,1-602
924_1_08062026_21062026.html,18.06.26,четверг,15:45-17:15,01 подгруппа,Инженерная графика,Лабораторная работа,Ведерников Я.Д.,1-602
924_1_08062026_21062026.html,18.06.26,четверг,15:45-17:15,02 подгруппа,Инженерная графика,Лабораторная работа,Ведерников Я.Д.,1-602
924_1_08062026_21062026.html,18.06.26,четверг,17:20-18:50,Общая группа,Инженерная графика,Лабораторная работа,Ведерников Я.Д.,1-602
924_1_08062026_21062026.html,18.06.26,четверг,17:20-18:50,01 подгруппа,Инженерная графика,Лабораторная работа,Ведерников Я.Д.,1-602
924_1_08062026_21062026.html,18.06.26,четверг,17:20-18:50,02 подгруппа,Инженерная графика,Лабораторная работа,Ведерников Я.Д.,1-602
