Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
465_1_08062026_21062026.html,19.06.26,пятница,15:45-17:15,Общая группа,Педагогика,Практическое занятие,Набоких А.А.,14-334
465_1_08062026_21062026.html,19.06.26,пятница,15:45-17:15,01 подгруппа,Педагогика,Практическое занятие,Набоких А.А.,14-334
465_1_08062026_21062026.html,19.06.26,пятница,15:45-17:15,02 подгруппа,Педагогика,Практическое занятие,Набоких А.А.,14-334
471_1_08062026_21062026.html,19.06.26,пятница,08:20-09:50,Общая группа,Анатомия,Практическое занятие,Постников Н.К.,19-217
471_1_08062026_21062026.html,19.06.26,пятница,08:20-09:50,01 подгруппа,Анатомия,Практическое занятие,Постников Н.К.,19-217
471_1_08062026_21062026.html,19.06.26,пятница,08:20-09:50,02 подгруппа,Анатомия,Практическое занятие,Постников Н.К.,19-217
471_1_08062026_21062026.html,19.06.26,пятница,10:00-11:30,Общая группа,Анатомия,Практическое занятие,Постников Н.К.,19-217
471_1_08062026_21062026.html,19.06.26,пятница,10:00-11:30,01 подгруппа,Анатомия,Практическое занятие,Постников Н.К.,19-217
471_1_08062026_21062026.html,19.06.26,пятница,10:00-11:30,02 подгруппа,Анатомия,Практическое занятие,Постников Н.К.,19-217
482_1_08062026_21062026.html,19.06.26,пятница,11:45-13:15,Общая группа,Иностранный язык,Не указан,Четвериков Б.А.,19-259
482_1_08062026_21062026.html,19.06.26,пятница,11:45-13:15,02 подгруппа,Иностранный язык,Не указан,Четвериков Б.А.,19-259
913_1_08062026_21062026.html,19.06.26,пятница,14:00-15:30,Общая группа,Технологии спортивной тренировки в избранном виде спорта,Практическое занятие,Боброва И.Н.,19-304
913_1_08062026_21062026.html,19.06.26,пятница,14:00-15:30,01 подгруппа,Технологии спортивной тренировки в избранном виде спорта,Практическое занятие,Боброва И.Н.,19-304
913_1_08062026_21062026.html,19.06.26,пятница,14:00-15:30,02 подгруппа,Технологии спортивной тренировки в избранном виде спорта,Практическое занятие,Боброва И.Н.,19-304
