Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
518_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,Общая группа,Математика,Практическое занятие,Корепанов А.Г.,1-334
518_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,01 подгруппа,Математика,Практическое занятие,Корепанов А.Г.,1-334
518_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,02 подгруппа,Математика,Практическое занятие,Корепанов А.Г.,1-334
518_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,03 подгруппа,Математика,Практическое занятие,Корепанов А.Г.,1-334
518_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,Прикладные вычисления,Лекция,Репкин Д.А.,1-242
518_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,Прикладные вычисления,Лекция,Репкин Д.А.,1-242
518_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,Прикладные вычисления,Лекция,Репкин Д.А.,1-242
518_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,03 подгруппа,Прикладные вычисления,Лекция,Репкин Д.А.,1-242
518_1_25052026_07062026.html,25.05.26,понедельник,15:45-17:15,Общая группа,Прикладные вычисления,Лабораторная работа,Репкин Д.А.,3-206
518_1_25052026_07062026.html,25.05.26,понедельник,15:45-17:15,01 подгруппа,Прикладные вычисления,Лабораторная работа,Репкин Д.А.,3-206
518_1_25052026_07062026.html,25.05.26,понедельник,17:20-18:50,Общая группа,Прикладные вычисления,Лабораторная работа,Репкин Д.А.,3-206
518_1_25052026_07062026.html,25.05.26,понедельник,17:20-18:50,01 подгруппа,Прикладные вычисления,Лабораторная работа,Репкин Д.А.,3-206
