Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
894_1_25052026_07062026.html,25.05.26,понедельник,08:20-09:50,Общая группа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,08:20-09:50,01 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,08:20-09:50,02 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,08:20-09:50,03 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,Общая группа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,01 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,02 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,03 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,Общая группа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,01 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,02 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
894_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,03 подгруппа,Общепсихологический практикум,Практическое занятие,Ершова Н.Н.,15-337
