Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
505_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,Общая группа,Проектная деятельность,Не указан,Сущих В.М.,6-202
505_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,01 подгруппа,Проектная деятельность,Не указан,Сущих В.М.,6-202
505_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,02 подгруппа,Проектная деятельность,Не указан,Сущих В.М.,6-202
505_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,Общая группа,Проектная деятельность,Не указан,Сущих В.М.,6-202
505_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,01 подгруппа,Проектная деятельность,Не указан,Сущих В.М.,6-202
505_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,02 подгруппа,Проектная деятельность,Не указан,Сущих В.М.,6-202
505_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,Тепловые электрические станции,Лекция,Крупин Д.Ф.,6-306
505_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,Тепловые электрические станции,Лекция,Крупин Д.Ф.,6-306
505_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,Тепловые электрические станции,Лекция,Крупин Д.Ф.,6-306
505_1_25052026_07062026.html,25.05.26,понедельник,15:45-17:15,Общая группа,Тепловые электрические станции,Практическое занятие,Крупин Д.Ф.,6-306
505_1_25052026_07062026.html,25.05.26,понедельник,15:45-17:15,01 подгруппа,Тепловые электрические станции,Практическое занятие,Крупин Д.Ф.,6-306
505_1_25052026_07062026.html,25.05.26,понедельник,15:45-17:15,02 подгруппа,Тепловые электрические станции,Практическое занятие,Крупин Д.Ф.,6-306
