Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
511_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,Общая группа,Финансовый анализ и обоснование управленческих решений,Лекция,Горячих С.П.,16-117
511_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,01 подгруппа,Финансовый анализ и обоснование управленческих решений,Лекция,Горячих С.П.,16-117
511_1_25052026_07062026.html,25.05.26,понедельник,14:00-15:30,02 подгруппа,Финансовый анализ и обоснование управленческих решений,Лекция,Горячих С.П.,16-117
511_1_25052026_07062026.html,25.05.26,понедельник,15:45-17:15,Общая группа,Финансовый анализ и обоснование управленческих решений,Практическое занятие,Горячих С.П.,16-117
511_1_25052026_07062026.html,25.05.26,понедельник,15:45-17:15,01 подгруппа,Финансовый анализ и обоснование управленческих решений,Практическое занятие,Горячих С.П.,16-117
511_1_25052026_07062026.html,25.05.26,понедельник,15:45-17:15,02 подгруппа,Финансовый анализ и обоснование управленческих решений,Практическое занятие,Горячих С.П.,16-117
512_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,Общая группа,Методы и модели анализа экономических индикаторов деятельности предприятия,Лекция,Каранина Е.В.,16-203
512_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,01 подгруппа,Методы и модели анализа экономических индикаторов деятельности предприятия,Лекция,Каранина Е.В.,16-203
512_1_25052026_07062026.html,25.05.26,понедельник,10:00-11:30,02 подгруппа,Методы и модели анализа экономических индикаторов деятельности предприятия,Лекция,Каранина Е.В.,16-203
512_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,Общая группа,Методы и модели анализа экономических индикаторов деятельности предприятия,Практическое занятие,Каранина Е.В.,16-203
512_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,01 подгруппа,Методы и модели анализа экономических индикаторов деятельности предприятия,Практическое занятие,Каранина Е.В.,16-203
512_1_25052026_07062026.html,25.05.26,понедельник,11:45-13:15,02 подгруппа,Методы и модели анализа экономических индикаторов деятельности предприятия,Практическое занятие,Каранина Е.В.,16-203
