Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
453_1_25052026_07062026.html,26.05.26,вторник,14:00-15:30,Общая группа,Управление персоналом,Не указан,Махнева Ю.В.,14-131
453_1_25052026_07062026.html,26.05.26,вторник,14:00-15:30,01 подгруппа,Управление персоналом,Не указан,Махнева Ю.В.,14-131
453_1_25052026_07062026.html,26.05.26,вторник,14:00-15:30,02 подгруппа,Управление персоналом,Не указан,Махнева Ю.В.,14-131
453_1_25052026_07062026.html,26.05.26,вторник,15:45-17:15,Общая группа,Управление персоналом,Не указан,Махнева Ю.В.,14-131
453_1_25052026_07062026.html,26.05.26,вторник,15:45-17:15,01 подгруппа,Управление персоналом,Не указан,Махнева Ю.В.,14-131
453_1_25052026_07062026.html,26.05.26,вторник,15:45-17:15,02 подгруппа,Управление персоналом,Не указан,Махнева Ю.В.,14-131
513_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,Общая группа,Статистика,Не указан,Братухина Е.А.,16-209
513_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,01 подгруппа,Статистика,Не указан,Братухина Е.А.,16-209
513_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,02 подгруппа,Статистика,Не указан,Братухина Е.А.,16-209
513_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,Общая группа,Статистика,Не указан,Братухина Е.А.,16-209
513_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,01 подгруппа,Статистика,Не указан,Братухина Е.А.,16-209
513_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,02 подгруппа,Статистика,Не указан,Братухина Е.А.,16-209
