Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
476_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,Общая группа,Русский язык и культура речи,Лекция,Калинина Л.В.,14-214
476_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,01 подгруппа,Русский язык и культура речи,Лекция,Калинина Л.В.,14-214
476_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,02 подгруппа,Русский язык и культура речи,Лекция,Калинина Л.В.,14-214
476_1_25052026_07062026.html,26.05.26,вторник,11:45-13:15,03 подгруппа,Русский язык и культура речи,Лекция,Калинина Л.В.,14-214
892_1_25052026_07062026.html,26.05.26,вторник,08:20-09:50,Общая группа,Социология семьи,Лекция,Коротышева Н.Н.,14-209
892_1_25052026_07062026.html,26.05.26,вторник,08:20-09:50,01 подгруппа,Социология семьи,Лекция,Коротышева Н.Н.,14-209
892_1_25052026_07062026.html,26.05.26,вторник,08:20-09:50,02 подгруппа,Социология семьи,Лекция,Коротышева Н.Н.,14-209
892_1_25052026_07062026.html,26.05.26,вторник,08:20-09:50,03 подгруппа,Социология семьи,Лекция,Коротышева Н.Н.,14-209
892_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,Общая группа,Социология семьи,Практическое занятие,Коротышева Н.Н.,14-209
892_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,01 подгруппа,Социология семьи,Практическое занятие,Коротышева Н.Н.,14-209
892_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,02 подгруппа,Социология семьи,Практическое занятие,Коротышева Н.Н.,14-209
892_1_25052026_07062026.html,26.05.26,вторник,10:00-11:30,03 подгруппа,Социология семьи,Практическое занятие,Коротышева Н.Н.,14-209
